name,job_title,academic_level,university,field_of_research,source_id,orcid,profile_url
Jianfeng Shen,Associate Professor,D,UNSW Sydney,Finance,,0000-0003-0502-3212,https://www.unsw.edu.au/staff/jianfeng-shen
Janghoon Shon,Lecturer,B,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/janghoon-shon
Roger Simnett,Emeritus Professor,E,UNSW Sydney,Accounting,,0000-0001-9881-8553,https://www.unsw.edu.au/staff/roger-simnett
Elvira Sojli,Associate Professor,D,UNSW Sydney,Finance,,0000-0002-1567-8901,https://www.unsw.edu.au/staff/elvira-sojli
Peter Swan,Professor,E,UNSW Sydney,Finance,,0000-0001-8406-2564,https://www.unsw.edu.au/staff/peter-swan
Stuart Taylor,Lecturer,B,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/stuart-taylor
Andrew Terry,Emeritus Professor,E,UNSW Sydney,Accounting,,0000-0002-0619-7233,https://www.unsw.edu.au/staff/andrew-terry
Wing Wah Tham,Associate Professor,D,UNSW Sydney,Finance,,0000-0002-1169-0073,https://www.unsw.edu.au/staff/wing-wah-tham
Binh Tran-Nam,Professor,E,UNSW Sydney,Accounting,,0000-0001-5516-7762,https://www.unsw.edu.au/staff/binh-tran-nam
Ken Trotman,Professor,E,UNSW Sydney,Accounting,,0000-0003-1211-2379,https://www.unsw.edu.au/staff/ken-trotman
Robert Tumarkin,Senior Lecturer,C,UNSW Sydney,Finance,,0000-0003-3164-1049,https://www.unsw.edu.au/staff/robert-tumarkin
Kristina Vojvoda,Lecturer,B,UNSW Sydney,Accounting,,0000-0001-5882-9223,https://www.unsw.edu.au/staff/kristina-vojvoda
Michael Walpole,Professor,E,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/michael-walpole
Neil Warren,Emeritus Professor,E,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/neil-warren
Yan Xu,Professor,E,UNSW Sydney,Accounting,,,https://www.unsw.edu.au/staff/yan-xu
Yuchen Xu,Senior Lecturer,C,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/yuchen-xu
Zhaoxia Xu,Associate Professor,D,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/zhaoxia-xu
Li Yang,Professor,E,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/li-yang
Henry Yip,Senior Lecturer,C,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/henry-yip
Jason Zein,Professor,E,UNSW Sydney,Finance,,0000-0001-7701-3721,https://www.unsw.edu.au/staff/jason-zein
Sherry Zhang,Lecturer,B,UNSW Sydney,Finance,,,https://www.unsw.edu.au/staff/sherry-zhang
