university,source,last_run,latest_year,record_count
UNSW Sydney,Crossref,2026-09-08T02:55:38.337348+00:00,2026,176
UNSW Sydney,ORCID,2026-09-08T02:55:38.337348+00:00,2025,241
UNSW Sydney,OpenAlex,2026-09-08T02:55:38.337348+00:00,2026,437
UNSW Sydney,UNSW staff profile,2026-09-08T02:55:38.337348+00:00,2026,4134
