"researcher_id","researcher_name","academic_title","academic_level","publication_id","publication_title","publication_year","article_url","doi","journal","issn","eissn","abdc_rating","abdc_for","author_name_from_repository","researcher_match_method","researcher_match_confidence","abdc_match_method","abdc_match_status"
"uwa-accounting-007","George Shan","Associate Professor","D","philanthropic-lottery-culture-and-corporate-social-responsibility","Philanthropic lottery culture and corporate social responsibility: evidence from China","2026","https://research-repository.uwa.edu.au/en/publications/philanthropic-lottery-culture-and-corporate-social-responsibility/","10.1080/13504851.2026.2688892","Applied Economics Letters","1350-4851","","B","3801","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","risk-factor-disclosures-tone-and-implied-cost-of-equity","Risk factor disclosures tone and implied cost of equity","2026","https://research-repository.uwa.edu.au/en/publications/risk-factor-disclosures-tone-and-implied-cost-of-equity/","10.1177/03128962261447079","Australian Journal of Management","0312-8962","","A","3502","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","tax-planning-under-pressure-the-impact-of-carbon-emissions-manage","Tax Planning Under Pressure: The Impact of Carbon Emissions Management Post-Paris Agreement","2026","https://research-repository.uwa.edu.au/en/publications/tax-planning-under-pressure-the-impact-of-carbon-emissions-manage/","10.1111/acfi.70183","Accounting and Finance","0810-5391","","A","3501","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-010","Lyndie Bayne","Senior Lecturer","C","tax-planning-under-pressure-the-impact-of-carbon-emissions-manage","Tax Planning Under Pressure: The Impact of Carbon Emissions Management Post-Paris Agreement","2026","https://research-repository.uwa.edu.au/en/publications/tax-planning-under-pressure-the-impact-of-carbon-emissions-manage/","10.1111/acfi.70183","Accounting and Finance","0810-5391","","A","3501","Lyndie Bayne","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-013","Phil Hancock","Professor","E","the-british-accounting-review-special-issue-new-challenges-in-gov","The British Accounting Review: Special Issue New challenges in governance, sustainability and accountability of universities","2026","https://research-repository.uwa.edu.au/en/publications/the-british-accounting-review-special-issue-new-challenges-in-gov/","10.1016/j.bar.2025.101815","British Accounting Review","0890-8389","","A*","3501","Phil Hancock","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","the-effect-of-csr-assurance-on-subsequent-corporate-greenwashing-","The effect of CSR assurance on subsequent corporate greenwashing: Suggestion acquisition or opinion shopping?","2026","https://research-repository.uwa.edu.au/en/publications/the-effect-of-csr-assurance-on-subsequent-corporate-greenwashing-/","10.1016/j.bar.2025.101744","British Accounting Review","0890-8389","","A*","3501","Yuan George Shan","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-004","David Gilchrist","Professor","E","the-role-of-management-controls-in-managing-competing-institution","The Role of Management Controls in Managing Competing Institutional Logics: A Case Study of a Non-Government Organization","2026","https://research-repository.uwa.edu.au/en/publications/the-role-of-management-controls-in-managing-competing-institution/","10.1111/faam.70023","Financial Accountability and Management","0267-4424","","A","3501","David Gilchrist","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-019","Vincent Chong","Professor","E","the-role-of-management-controls-in-managing-competing-institution","The Role of Management Controls in Managing Competing Institutional Logics: A Case Study of a Non-Government Organization","2026","https://research-repository.uwa.edu.au/en/publications/the-role-of-management-controls-in-managing-competing-institution/","10.1111/faam.70023","Financial Accountability and Management","0267-4424","","A","3501","Vincent K. Chong","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-010","Lyndie Bayne","Senior Lecturer","C","the-role-of-management-controls-in-managing-competing-institution","The Role of Management Controls in Managing Competing Institutional Logics: A Case Study of a Non-Government Organization","2026","https://research-repository.uwa.edu.au/en/publications/the-role-of-management-controls-in-managing-competing-institution/","10.1111/faam.70023","Financial Accountability and Management","0267-4424","","A","3501","Lyndie Bayne","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-007","George Shan","Associate Professor","D","the-value-of-an-early-warning-from-crowdsourced-cybersecurity-vul","The Value of an Early Warning from Crowdsourced Cybersecurity Vulnerabilities","2026","https://research-repository.uwa.edu.au/en/publications/the-value-of-an-early-warning-from-crowdsourced-cybersecurity-vul/","10.1080/08874417.2026.2641007","Journal of Computer Information Systems","0022-0310","","A","4609","Yuan George Shan","Pure profile URL","high","normalized journal title","matched"
"uwa-accounting-012","Nikki Schonfeldt","Senior Lecturer","C","threshold-concepts-in-the-preparation-of-consolidated-financial-s","Threshold Concepts in the Preparation of Consolidated Financial Statements","2026","https://research-repository.uwa.edu.au/en/publications/threshold-concepts-in-the-preparation-of-consolidated-financial-s/","10.1111/acfi.70163","Accounting and Finance","0810-5391","","A","3501","Nikki Schönfeldt","Pure profile URL","high","ISSN/eISSN","matched"
"uwa-accounting-013","Phil Hancock","Professor","E","threshold-concepts-in-the-preparation-of-consolidated-financial-s","Threshold Concepts in the Preparation of Consolidated Financial Statements","2026","https://research-repository.uwa.edu.au/en/publications/threshold-concepts-in-the-preparation-of-consolidated-financial-s/","10.1111/acfi.70163","Accounting and Finance","0810-5391","","A","3501","Phil Hancock","Pure profile URL","high","ISSN/eISSN","matched"
