university,source,last_run,latest_year,record_count
University of Melbourne,Crossref,2026-09-18T11:42:30.684561+00:00,2026,97
University of Melbourne,ORCID,2026-09-18T11:42:30.684561+00:00,2026,588
University of Melbourne,OpenAlex,2026-09-18T11:42:30.684561+00:00,2026,1077
University of Melbourne,UniMelb Minerva,2026-09-18T11:42:30.684561+00:00,2026,264
