researcher_id,researcher_name,openalex_author_id,openalex_work_id,title,publication_year,publication_date,doi,article_url,journal_name,issn,eissn,all_issns,authors,author_count,publication_type,cited_by_count,fwci,citation_percentile,is_retracted,is_open_access,open_access_status,open_access_url,topics,updated_date,source_updated_date,record_origin,identity_match_method,identity_match_confidence,repository_verified,requires_review,review_reason,openalex_retrieved_at
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W2057942117,The role of budgets in organizations facing strategic change: an exploratory study,1999,1999-04-01,10.1016/s0361-3682(98)00059-2,https://doi.org/10.1016/s0361-3682(98)00059-2,Accounting Organizations and Society,0361-3682,1873-6289,0361-3682; 1873-6289,[object Object]; [object Object],2,article,719,4.0761,0.94378749,false,false,closed,,"Accounting and Organizational Management; Public Policy and Administration Research; Auditing, Earnings Management, Governance",2026-08-27T14:10:00.468798,2026-08-27T14:10:00.468798,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W1976673863,A Field Study of Control System “Redesign”: The Impact of Institutional Processes on Strategic Choice*,1996,1996-09-01,10.1111/j.1911-3846.1996.tb00515.x,https://doi.org/10.1111/j.1911-3846.1996.tb00515.x,Contemporary Accounting Research,0823-9150,1911-3846,0823-9150; 1911-3846,[object Object]; [object Object],2,article,529,2.2237,0.86601654,false,false,closed,,"Accounting and Organizational Management; Public Policy and Administration Research; Auditing, Earnings Management, Governance",2026-08-25T07:29:55.448023,2026-08-25T07:29:55.448023,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W1963729065,"Management control systems in research and development organizations: The role of accounting, behavior and personnel controls",1997,1997-04-01,10.1016/s0361-3682(96)00038-4,https://doi.org/10.1016/s0361-3682(96)00038-4,Accounting Organizations and Society,0361-3682,1873-6289,0361-3682; 1873-6289,[object Object]; [object Object],2,article,454,5.1113,0.95010976,false,false,closed,,Accounting and Organizational Management; Accounting Education and Careers; ERP Systems Implementation and Impact,2026-08-25T07:29:55.448023,2026-08-25T07:29:55.448023,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W1990027200,The impact of manufacturing flexibility on management control system design,1995,1995-05-01,10.1016/0361-3682(94)e0014-l,https://doi.org/10.1016/0361-3682(94)e0014-l,Accounting Organizations and Society,0361-3682,1873-6289,0361-3682; 1873-6289,[object Object]; [object Object],2,article,452,2.5337,0.89359319,false,false,closed,,Accounting and Organizational Management; Quality and Supply Management; Customer Service Quality and Loyalty,2026-08-25T07:29:55.448023,2026-08-25T07:29:55.448023,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W2144677477,The consequences of customization on management accounting system design,2000,2000-04-01,10.1016/s0361-3682(99)00043-4,https://doi.org/10.1016/s0361-3682(99)00043-4,Accounting Organizations and Society,0361-3682,1873-6289,0361-3682; 1873-6289,[object Object]; [object Object],2,article,401,6.7206,0.97027313,false,false,closed,,Accounting and Organizational Management; Business Strategy and Innovation; Management Theory and Practice,2026-08-21T09:56:20.448147,2026-08-21T09:56:20.448147,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W3124087878,Determinants of control system design in divisionalized firms,2004,2004-01-01,10.2308/accr.2004.79.3.545,https://doi.org/10.2308/accr.2004.79.3.545,Minerva Access (University of Melbourne),,,,[object Object]; [object Object]; [object Object],3,article,335,12.2813,0.98705661,false,false,closed,,"Accounting and Organizational Management; Auditing, Earnings Management, Governance; Corporate Finance and Governance",2026-08-19T15:00:24.278416,2026-08-19T15:00:24.278416,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W1964675124,The role of professional control in the management of complex organizations,1995,1995-01-01,10.1016/0361-3682(94)e0017-o,https://doi.org/10.1016/0361-3682(94)e0017-o,Accounting Organizations and Society,0361-3682,1873-6289,0361-3682; 1873-6289,[object Object]; [object Object],2,article,332,5.7103,0.96513187,false,false,closed,,Accounting and Organizational Management; Public Policy and Administration Research; Management and Organizational Studies,2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W2008061591,The Influence of CEO Power on Compensation Contract Design,2014,2014-10-01,10.2308/accr-50971,https://doi.org/10.2308/accr-50971,The Accounting Review,0001-4826,1558-7967,0001-4826; 1558-7967,[object Object]; [object Object]; [object Object],3,article,241,21.6139,0.99230751,false,false,closed,,"Corporate Finance and Governance; Financial Reporting and Valuation Research; Auditing, Earnings Management, Governance",2026-08-26T07:47:46.906454,2026-08-26T07:47:46.906454,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W2012603394,"Budget use, task uncertainty, system goal orientation and subunit performance: A test of the ‘fit’ hypothesis in not-for-profit hospitals",1991,1991-01-01,10.1016/0361-3682(91)90008-3,https://doi.org/10.1016/0361-3682(91)90008-3,Accounting Organizations and Society,0361-3682,1873-6289,0361-3682; 1873-6289,[object Object]; [object Object],2,article,203,1.2205,0.7928615,false,false,closed,,Accounting and Organizational Management; Public Policy and Administration Research; Customer Service Quality and Loyalty,2026-08-21T09:56:20.448147,2026-08-21T09:56:20.448147,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
unimelb-accounting-001,Professor Margaret Abernethy,A5019062394,W1825842601,Are Employee Selection and Incentive Contracts Complements or Substitutes?,2015,2015-06-19,10.1111/1475-679x.12090,https://doi.org/10.1111/1475-679x.12090,Journal of Accounting Research,0021-8456,1475-679X,0021-8456; 1475-679X,[object Object]; [object Object]; [object Object],3,article,119,24.6533,0.99351382,false,false,closed,,Corporate Finance and Governance; Experimental Behavioral Economics Studies; Innovation and Knowledge Management,2026-08-28T12:50:07.497085,2026-08-28T12:50:07.497085,openalex_orcid_only,official_orcid_to_openalex_author,high,false,false,,2026-08-29T03:05:16.957Z
