university,source,last_run,latest_year,record_count
University of Sydney,Crossref,2026-09-22T06:35:37.324562+00:00,2021,31
University of Sydney,ORCID,2026-09-22T06:35:37.324562+00:00,2024,148
University of Sydney,OpenAlex,2026-09-22T06:35:37.324562+00:00,2026,361
University of Sydney,Sydney Profiles,2026-09-22T06:35:37.324562+00:00,2026,3020
