researcher_name,title,year,doi
Alex Wang,"The Effect of Nonfinancial Performance Measures, Absorptive Capacity, and Organizational Learning on Innovation Performance",2023,10.1007/s00187-023-00355-0
Alex Wang,"Manager Narcissism, Target Difficulty, and Employee Dysfunctional Behavior",2023,10.1111/1911-3846.12864
Isabel Wang,The effect of ethical commitment reminder and reciprocity in the workplace on misreporting,2022,10.1007/s10551-022-05237-4
Isabel Wang,"The effect of non-financial performance measures, organisational politics and political skill on job performance: Evidence from China",2022,10.1111/acfi.12984
Isabel Wang,"The effect of negotiators’ role, leadership tone and social value orientation on expected transfer prices: Additional evidence",2021,10.1007/s00187-021-00321-8
Isabel Wang,Delegation of decision rights and misreporting: The roles of incentive-based compensation schemes and responsibility rationalization,2019,10.1080/09638180.2018.1452771
Isabel Wang,"The influence of sunk costs, personal responsibility and culture on the tendency of accountants to facilitate escalation of commitment",2014,10.1108/par-12-2012-0065
Kathy Wang,"The opioid crisis, employee health capital, and corporate information production",2023,10.2139/ssrn.4602184
Marvin Wee,Strategic trading by insiders in the presence of institutional investors,2023,10.1016/j.finmar.2022.100802
Marvin Wee,Transparency in fragmented markets: Experimental Evidence,2022,10.1016/j.finmar.2022.100732
Marvin Wee,The effect of short selling on volatility and jumps,2022,10.1177/0312896221996416
Marvin Wee,Corporate governance analysts and firm value: Australian evidence,2020,10.1016/j.pacfin.2020.101430
Marvin Wee,The role of implied volatility in liquidity provision,2020,10.1177/0312896219833423
Marvin Wee,The role of credibility in the relation between management forecasts and analyst forecasts in Japan,2019,10.1016/j.pacfin.2019.03.002
Marvin Wee,The impact of Ball and Brown (1968) on generations of research,2019,10.2139/ssrn.3304915
Marvin Wee,A review of research on regulation changes in the Asia-Pacific region,2018,10.1111/acfi.12259
Marvin Wee,The role of algorithmic trading in stock liquidity and commonality in electronic limit order markets,2018,10.1016/j.pacfin.2018.04.004
Marvin Wee,Media sentiment and trading strategies of different types of traders,2017,10.1016/j.pacfin.2017.07.001
Marvin Wee,IFRS non-GAAP earnings disclosures and fair value measurement,2016,10.2139/ssrn.2626972
Marvin Wee,Pinning down an effective measure for probability of informed trading,2016,10.1016/j.pacfin.2016.06.006
Marvin Wee,Presentation format and financial literacy: Accessibility and assessability of retirement savings statements,2015,10.1111/joca.12087
Marvin Wee,"Disclosure incentives, mandatory standards and firm communication in the IFRS adoption setting",2014,10.1177/0312896213481366
Marvin Wee,IFRS Adoption and analysts’ earnings forecasts: Australian evidence,2012,10.1111/j.1467-629x.2010.00392.x
Marvin Wee,Does disclosure quality via investor relations affect information asymmetry?,2008,10.1177/031289620803300208
Marvin Wee,The impact of the internet on earnings announcements,2005,10.1016/j.pacfin.2004.09.003
Wei Zeng,The influence of institutional differences on control mechanisms in alliances,2022,10.2308/tar-2018-0216
Lijuan Zhang,Shocks to CEO Political Alignment and Corporate Social Responsibility: Evidence from the 2008 and 2016 Presidential Elections,2025,10.1142/s1094406024400043
Lijuan Zhang,"Investor protection, aggregate changes in profit margins and forecasts of growth in GDP: international evidence",2024,10.1007/s11142-023-09785-6
Lijuan Zhang,The SEC Compensation-related comment Letters and Excess CEO Compensation,2022,10.1080/09638180.2022.2046120
Lijuan Zhang,In Name only: Information Spillovers among Chinese Firms with Similar Stock Names during Earnings Announcements,2021,10.1016/j.jcorpfin.2021.102015
Lijuan Zhang,"Accruals Quality, Stock Return Seasonality and the Cost of Equity Capital: International Evidence",2018,10.1111/1911-3846.12407
Lijuan Zhang,Does the accruals quality premium arise from information risk?,2018,10.1111/acfi.12224
Xiu-Ye Zhang,"The Impact of Environmental, Social and Governance Disclosure on Firm Value: The Role of CEO Power",2018,10.1016/j.bar.2017.09.007
Xiu-Ye Zhang,The impact of board gender composition on corporate debt maturity structures,2018,10.1111/eufm.12214
Xiu-Ye Zhang,Noncompliance with Non-Accounting Securities Regulations and GAAP Violations,2019,10.1111/jbfa.12377
Richard (Ruichao) Zhu,"Does Media Coverage Help Firms ""Lobby"" for Government Subsidies? Evidence from China",2021,10.1007/s10490-018-9600-1
Richard (Ruichao) Zhu,When Are Pay Gaps Good or Bad for Firm Performance? Evidence from China,2020,10.1017/mor.2019.42
Antje Berndt,How Subprime Borrowers and Mortgage Brokers Shared the Pie,2016,10.1111/1540-6229.12087
Antje Berndt,Do Equity Markets Favor Credit Market News Over Options Market News?,2014,10.1142/s2010139214500062
Antje Berndt,How Does the U.S. Government Finance Fiscal Shocks?,2012,10.1257/mac.4.1.69
Antje Berndt,Decomposing European CDS Returns,2010,10.1093/rof/rfq004
Antje Berndt,The Pitfalls of Originate-to-Distribute in Bank Lending,2010,10.1002/9781118266588.ch34
Jenni Bettman,Australian Evidence Regarding the Value-Relevance of Technical Information,2007,10.1177/031289620703200104
Jenni Bettman,Fundamental and Technical Analysis: Substitutes or Complements?,2009,10.1111/j.1467-629x.2008.00277.x
Jenni Bettman,Momentum Profits in the Australian Equity Market: A Matched Firm Approach,2009,10.1016/j.pacfin.2009.01.001
Jenni Bettman,The Impact of Liquidity and Transaction Costs on the 52-Week High Momentum Strategy in Australia,2010,10.1177/0312896210385282
Jenni Bettman,The Economic Significance of Trading Based on the Size Effect in Australia,2011,10.1177/0312896210388860
Hua Deng,The underpricing and long-term performance of Chinese IPOs listed on the Hong Kong Exchange,2024,10.1108/jabes-05-2023-0161
Hua Deng,Creating value by changing the old guard: The impact of controlling shareholder heterogeneity on firm performance and corporate policies,2013,10.1017/s0022109014000039
Jo Drienko,A skew is a skill: Portfolio skewness of mutual fund holdings,2026,10.1016/j.jempfin.2026.101687
Jo Drienko,"A portfolio-level, sum-of-the-parts approach to return predictability",2024,10.1016/j.jempfin.2024.101525
Jo Drienko,Dividend hibernation and future earnings: When no dividend news is good news,2023,10.1016/j.jcorpfin.2023.102502
Jo Drienko,A review of the return-illiquidity relationship,2019,10.1561/104.00000052
Jo Drienko,Company responses to exchange queries in real time,2017,10.1016/j.pacfin.2016.08.003
Jo Drienko,The intraday impact of company responses to exchange queries,2013,10.1016/j.jbankfin.2013.08.011
Chao Gao,Anticipating Uncertainty: Straddles Around Earnings Announcements,2018,10.1017/s0022109018000285
Chao Gao,Investment Performance of Credit Risk Transfer Securities (CRTs): The Early Evidence,2018,10.2139/ssrn.3183505
Lin Hu,Electoral Accountability and Selection with Personalized Information Aggregation,2023,10.1016/j.geb.2023.04.001
Lin Hu,Competition and Distortion: A Theory of Information Bias on the Peer-to-Peer Lending Market,2021,10.1287/isre.2020.0956
Dean Katselas,Insider trading footprints: An empirical look at detected cases in Australia,2025,10.1111/irfi.70013
Dean Katselas,"A portfolio-level, sum-of-the-parts approach to return predictability",2024,10.1016/j.jempfin.2024.101525
Dean Katselas,Strategic Insider Trading around Earnings Announcements in Australia,2020,10.1111/acfi.12478
Dean Katselas,Adoption of International Financial Reporting Standards and the Cost of Adverse Selection,2018,10.1111/acfi.12251
Dean Katselas,Insider Trading in Australia: Contrarianism and Future Performance,2018,10.1016/j.pacfin.2018.01.004
Dean Katselas,Merging Time-Series Australian Data Across Databases: Challenges and Solutions,2016,10.1111/acfi.12123
Dean Katselas,The Preferences of Private Equity investors in Selecting Target Acquisitions: An International Investigation,2012,10.1177/0312896212440269
Nhan Le,Local Bankruptcy and Geographic Contagion in the Bank Loan Market,2020,10.1093/rof/rfz023
