issn,issn_online,title,for_code,quality_rank,abdc_edition
17527767,17527775,American Journal of Finance and Accounting,3502,C,2025
23323493,23323507,American Journal of Health Economics,3801,A*,2025
00925853,15405907,American Journal of Political Science,3599,A*,2025
00900036,15410048,American Journal of Public Health,3599,A*,2025
15394131,,American Journal of Recreation Therapy,3504,C,2025
00029602,15375390,American Journal of Sociology,3507,A*,2025
14657252,14657260,American Law and Economics Review,3801,B,2025
00030554,15375943,American Political Science Review,3599,A*,2025
0003066X,1935990X,American Psychologist,3507,A*,2025
15511383,,American Review of Political Economy,3899,C,2025
02750740,15523357,American Review of Public Administration,3599,B,2025
00031224,19398271,American Sociological Review,3507,A*,2025
1869814X,18698182,AMS Review,3506,B,2025
02528851,,Analisis: cuadernos de investigacion,3801,C,2025
22136657,22136665,Analytic Methods in Accident Research,3509,B,2025
13032917,21566909,Anatolia,3508,B,2025
18447007,,Annals Economy Series,3899,C,2025
17484995,17485002,Annals of Actuarial Science,3502,A,2025
10505164,21688737,Annals of Applied Probability,4905,A,2025
19326157,19417330,Annals of Applied Statistics,4905,A,2025
15297373,,Annals of Economics and Finance,3502,C,2025
16142446,16142454,Annals of Finance,3502,B,2025
11745398,21596816,Annals of Leisure Research,3504,B,2025
02545330,15729338,Annals of Operations Research,3507,A,2025
00911798,2168894X,Annals of Probability,4905,A*,2025
13704788,14678292,Annals of Public and Cooperative Economics,3801,B,2025
00905364,,Annals of Statistics,4905,A*,2025
00027162,15523349,Annals of the American Academy of Political and Social Science,3599,B,2025
00203157,15729052,Annals of the Institute of Statistical Mathematics,4905,A,2025
01607383,18737722,Annals of Tourism Research,3508,A*,2025
26669579,26669579,Annals of Tourism Research Empirical Insights,3508,B,2025
1092776X,,Annual Editions: Economics,3801,C,2025
15444627,,Annual Review of Banking and Financial Law,4801,C,2025
19411383,19411391,Annual Review of Economics,3801,A*,2025
19411367,19411375,Annual Review of Financial Economics,3801,B,2025
23270616,,Annual Review of Organizational Psychology and Organizational Behavior,3507,A*,2025
00664308,15452085,Annual Review of Psychology,3507,A*,2025
19411340,19411359,Annual Review of Resource Economics,3801,B,2025
03600572,15452115,Annual Review of Sociology,3507,A*,2025
00036056,,Anti Trust Law Journal,4801,A,2025
0003603X,19307969,Antitrust Bulletin,4801,B,2025
01956663,10958304,Appetite,3506,A,2025
08884080,10990720,Applied Cognitive Psychology,3507,B,2025
19937601,24106445,Applied Econometrics,3802,C,2025
15784487,,Applied Econometrics and International Development,3802,C,2025
26327627,,Applied Economic Analysis,3801,B,2025
20405804,20405970,Applied Economic Perspectives and Policy,3801,B,2025
00036846,14664283,Applied Economics,3801,A,2025
13504851,14664291,Applied Economics Letters,3801,B,2025
16116607,18655122,Applied Economics Quarterly,3801,B,2025
03062619,,Applied Energy,3599,A,2025
22535799,22535802,Applied Finance Letters,3502,B,2025
09603107,14664305,Applied Financial Economics,3502,B,2025
11755652,11791896,Applied Health Economics and Health Policy,3801,C,2025
1350486X,14664313,Applied Mathematical Finance,3502,B,2025
01466216,15523497,Applied Psychological Measurement,3507,B,2025
0269994X,14640597,Applied Psychology: An International Review,3507,A,2025
18712584,18712576,Applied Research in Quality of Life,3599,B,2025
15241904,15264025,Applied Stochastic Models in Business and Industry,4905,B,2025
00037087,,Appraisal Journal,3504,B,2025
13657305,15518663,Aquaculture Economics and Management,3801,C,2025
0004153X,,Arizona Law Review,4801,B,2025
00041742,,Arkansas Business and Economic Review,3801,C,2025
00043567,,Artha-Vikas: a journal of economic development,3801,C,2025
20442084,20564945,Arts and the Market (formerly Arts Marketing),3506,C,2025
14122073,,ASEAN Journal on Hospitality and Tourism,3508,C,2025
16102932,16121031,Asia Europe Journal,3599,B,2025
13602381,1743792X,Asia Pacific Business Review,3507,B,2025
13268481,,Asia Pacific Journal of Economics and Business,3801,B,2025
02191466,,Asia Pacific Journal of Finance,3502,B,2025
18333818,18333818,Asia Pacific Journal of Health Management,3599,C,2025
22885404,22886818,Asia Pacific Journal of Information Systems,4609,B,2025
02174561,15729958,Asia Pacific Journal of Management,3507,A,2025
13555855,17584248,Asia Pacific Journal of Marketing and Logistics,3506,A,2025
10275592,,Asia Pacific Journal of Taxation,4801,C,2025
10941665,17416507,Asia Pacific Journal of Tourism Research,3508,A,2025
10192557,18758444,Asia Pacific Law Review,4801,C,2025
14404389,18398227,Asia Pacific Public Relations Journal,3506,B,2025
10201246,,Asia Pacific Sustainable Development Journal,3899,B,2025
13872834,15736946,Asia-Pacific Financial Markets,3502,C,2025
16081625,21642257,Asia-Pacific Journal of Accounting and Economics,3501,B,2025
17574323,17574331,Asia-Pacific Journal of Business Administration,3507,B,2025
20419945,20416156,Asia-Pacific Journal of Financial Studies,3502,B,2025
10384111,17447941,Asia-Pacific Journal of Human Resources,3505,A,2025
27106519,,Asia-Pacific Journal of Innovation in Hospitality and Tourism,3508,C,2025
2194606X,21533792,Asia-Pacific Journal of Risk and Insurance,3502,B,2025
16753194,25501631,Asia-Pacific Management Accounting Journal,3501,C,2025
10293132,25898213,Asia-Pacific Management Review,3507,C,2025
13853082,,Asia-Pacific Tax Bulletin,4801,C,2025
13942603,21804184,Asian Academy of Management Journal,3507,C,2025
18234992,21804192,Asian Academy of Management Journal of Accounting and Finance,3501,C,2025
10006052,,Asian and Pacific Economic Review,3801,C,2025
01171968,2057049X,Asian and Pacific Migration Journal,3599,C,2025
14724782,14769328,Asian Business and Management,3507,C,2025
01161105,01161105,Asian Development Review,3801,C,2025
13513958,14678381,Asian Economic Journal,3801,B,2025
15353516,15360083,Asian Economic Papers,3801,B,2025
18328105,17483131,Asian Economic Policy Review,3801,C,2025
26528681,,Asian Economics Letters,3801,C,2025
