issn,issn_online,title,for_code,quality_rank,abdc_edition
2196291X,21962928,Customer Needs and Solutions,3506,B,2025
14504561,,Cyprus Economic Policy Review,3899,C,2025
18024696,18059406,Czech Economic Review,3801,C,2025
00151920,24647683,Czech Journal of Economics and Finance / Finance a uver,3899,C,2025
03171663,,Dalhousie Law Journal,4801,A,2025
00950033,15320936,Data Base for Advances in Information Systems,4609,A,2025
0013063X,15729982,De Economist,3801,C,2025
18359264,,Deakin Law Review,4801,A,2025
23259965,,Decision,3507,B,2025
15458490,15458504,Decision Analysis,3503,A,2025
00117315,15405915,Decision Sciences,3509,A*,2025
15404595,15404609,Decision Sciences Journal of Innovative Education,3505,C,2025
01679236,18735797,Decision Support Systems,4609,A*,2025
03040941,21971722,DECISION: Official journal of indian institute of management calcutta,3507,C,2025
15938883,11296569,Decisions in Economics and Finance,3801,B,2025
10242694,14768267,Defence and Peace Economics,3801,B,2025
00117625,,Defense Transportation Journal,3509,C,2025
03649490,19437331,Delaware Journal of Corporate Law,4801,A,2025
14359871,,Demographic Research,3505,A,2025
00703370,15337790,Demography,3801,A,2025
15422763,,DePaul Business and Commercial Law Journal,4801,C,2025
13891863,,Derivatives & Financial Instruments,3502,C,2025
0142694X,18726909,Design Studies,3599,A,2025
00121533,17461049,Developing Economies,3801,B,2025
0012155X,14677660,Development and Change,3801,B,2025
14777282,17586097,Development and Learning in Organizations,3505,C,2025
09506764,14677679,Development Policy Review,3801,B,2025
0376835X,14703637,Development Southern Africa,3801,C,2025
,26669544,Digital Business,4609,C,2025
23985046,23985038,"Digital Policy, Regulation and Governance",4609,B,2025
03613666,14677717,Disasters,3599,A,2025
17504813,17504821,Discourse & Communication,3599,A,2025
09579265,14603624,Discourse & Society,3599,A,2025
14614456,14617080,Discourse Studies,3599,A,2025
10536736,23289708,Duke Journal of Comparative and International Law,4801,A,2025
00127086,,Duke Law Journal,4801,B,2025
1548372X,,Duquesne Business Law Journal,4801,C,2025
12343862,24507067,Dynamic Econometric Models,3802,C,2025
21530785,21530793,Dynamic Games and Applications,3803,B,2025
15288226,15288234,E-Service Journal,3506,B,2025
00945056,19394632,Eastern Economic Journal,3801,B,2025
00128775,15579298,Eastern European Economics,3801,B,2025
09282750,,EC Tax Review,4801,B,2025
09218009,18736106,Ecological Economics,3899,A,2025
00129658,19399170,Ecology,3599,A,2025
1933527X,,Econ Journal Watch,3801,B,2025
07474938,15324168,Econometric Reviews,3802,A,2025
02664666,14694360,Econometric Theory,3802,A*,2025
00129682,14680262,Econometrica,3802,A*,2025
22251146,,Econometrics,3802,B,2025
24523062,,Econometrics and Statistics,3802,B,2025
13684221,1368423X,Econometrics Journal,3802,A*,2025
02544415,23044306,Economia,3803,C,2025
0012981X,,Economia Internazionale,3801,C,2025
15297470,15336239,"Economia, the Journal of Latin American and Caribbean Economic Association (LACEA)",3801,B,2025
02650665,14680270,Economic Affairs,3801,C,2025
03135926,22042296,Economic Analysis and Policy,3801,A,2025
15800466,23354216,Economic and Business Review,3801,C,2025
0143831X,14617099,Economic and Industrial Democracy: an international journal,3801,A,2025
17518326,17518334,Economic and Labour Market Review,3801,C,2025
00129976,23498846,Economic and Political Weekly,3801,B,2025
00129984,,Economic and Social Review,3801,B,2025
15739414,15740277,Economic Change and Restructuring,3801,B,2025
0424267X,,Economic Computation and Economic Cybernetics Studies and Research,3899,C,2025
00130079,15392988,Economic Development and Cultural Change,3801,A,2025
08912424,15523543,Economic Development Quarterly,3801,B,2025
00130095,19448287,Economic Geography,3801,A,2025
20780389,20780397,Economic History of Developing Regions,3801,C,2025
00952583,14657295,Economic Inquiry,3801,A,2025
13637029,,Economic Issues,3801,B,2025
02649993,18736122,Economic Modelling,3801,A,2025
03915026,14680300,Economic Notes,3801,B,2025
,17593441,Economic Papers: a journal of applied economics and policy,3801,B,2025
19945124,24112658,Economic Policy / Ekonomicheskaya Politika,3801,C,2025
02664658,14680327,Economic Policy: a European forum,3801,A,2025
00413011,2448718X,Economic Quarter / Trimestre Economico,3801,B,2025
00352764,19506694,Economic Review / Revue Economique,3801,B,2025
03042758,07185286,Economic Studies / Estudios de Economia,3801,C,2025
02053292,,Economic Studies Journal,3801,C,2025
09393625,18785433,Economic Systems,3899,B,2025
09535314,14695758,Economic Systems Research,3899,B,2025
09382259,14320479,Economic Theory,3803,A*,2025
21961085,21961093,Economic Theory Bulletin,3803,B,2025
02051990,,Economic Thought Journal,3899,C,2025
00130427,14680335,Economica,3801,A,2025
09541985,14680343,Economics & Politics,3801,A,2025
15840409,2344441X,Economics and Applied Informatics,3899,C,2025
23921641,24500097,Economics and Business Review,3801,C,2025
0126155X,24429260,Economics and Finance in Indonesia,3801,C,2025
1570677X,18736130,Economics and Human Biology,3801,A,2025
02662671,14740028,Economics and Philosophy,3801,A,2025
22807659,22807667,Economics and Policy of Energy and the Environment,3899,C,2025
15452921,,Economics Bulletin,3801,C,2025
01651765,18737374,Economics Letters,3801,A,2025
25111280,25111299,Economics of Disasters and Climate Change,3801,C,2025
02727757,18737382,Economics of Education Review,3801,A,2025
21605882,21605890,Economics of Energy & Environmental Policy,3801,B,2025
14356104,14358131,Economics of Governance,3801,B,2025
10438599,14768364,Economics of Innovation and New Technology,3801,B,2025
25776975,25776983,Economics of Transition and Institutional Change,3801,A,2025
22120122,,Economics of Transportation,3509,B,2025
18423191,1938212X,"Economics, Management, and Financial Markets",3801,C,2025
18646042,,"Economics: The Open Access, Open Assessment E-journal",3801,B,2025
,22277099,Economies,3801,C,2025
21946167,15533832,Economists' Voice,3801,B,2025
03085147,14695766,Economy and Society,3801,A,2025
07366981,19361009,"EDPACS: The EDP Audit, Control, and Security Newsletter",3501,C,2025
09645292,14695782,Education Economics,3801,B,2025
15573060,15573079,Education Finance and Policy,3801,A,2025
00131644,15523888,Educational and Psychological Measurement,3507,A,2025
17411432,17411440,Educational Management Administration & Leadership,3505,B,2025
14482398,,eJournal of Tax Research,4801,A,2025
10255508,10133224,Ekonomia,3803,C,2025
13895753,15729362,Electronic Commerce Research,4609,A,2025
15674223,18737846,Electronic Commerce Research and Applications,4609,B,2025
15702294,,Electronic Communication Law Review,4801,C,2025
12980137,,Electronic Journal of Evolutionary Modeling and Economic Dynamics,3899,C,2025
16814835,,Electronic Journal of Information Systems in Developing Countries,4609,B,2025
14794411,,Electronic Journal of Knowledge Management,4609,C,2025
,10836489,Electronic Journal of Probability,4905,A,2025
10196781,14228890,Electronic Markets,4609,A,2025
1540496X,15580938,Emerging Markets Finance and Trade,3502,B,2025
15660141,18736173,Emerging Markets Review,3502,A,2025
03408744,15736911,Empirica,3801,B,2025
03777332,14358921,Empirical Economics,3801,A,2025
16818997,,Empirical Economics Letters,3801,C,2025
01425455,17587069,Employee Relations,3505,A,2025
00988898,,Employee Relations Law Journal,4801,B,2025
08927545,15733378,Employee Responsibilities and Rights Journal,3505,C,2025
0958305X,20484070,Energy and Environment,3599,C,2025
01409883,18736181,Energy Economics,3801,A*,2025
01956574,19449089,Energy Journal,3801,A,2025
03014215,18736777,Energy Policy,3599,A,2025
26526514,26526433,Energy Research Letters,3899,C,2025
15567249,15567257,"Energy Sources, Part B: Economics, Planning, and Policy",3801,C,2025
08434379,,Energy Studies Review,3899,C,2025
13922785,20295839,Engineering Economics,3801,B,2025
0013791X,15472701,Engineering Economist,3801,C,2025
10429247,23770643,Engineering Management Journal,3507,B,2025
09699988,1365232X,"Engineering, Construction and Architectural Management",3504,A,2025
19744730,,Enometrica,3899,C,2025
14672227,14672235,Enterprise and Society,3505,A,2025
17551978,17551986,Enterprise Development & Microfinance,3801,C,2025
26519615,,Enterprise Governance eJournal,4801,C,2025
17517575,17517583,Enterprise Information Systems,4609,A,2025
09593799,,Entertainment Law Review,4801,B,2025
19324480,19324472,Entrepreneurial Business Law Journal,4801,C,2025
08985626,14645114,Entrepreneurship and Regional Development,3507,A,2025
21946175,21575665,Entrepreneurship Research Journal,3507,B,2025
10422587,15406520,Entrepreneurship Theory and Practice,3507,A*,2025
1355770X,14694395,Environment and Development Economics,3801,B,2025
0308518X,14723409,Environment and Planning A: Economy and Space,3599,A*,2025
02658135,14723417,Environment and Planning B: Urban Analytics and City Science,3599,A*,2025
0263774X,,Environment and Planning C: politics and space,3599,B,2025
02637758,14723433,Environment and Planning D: society and space,3599,A,2025
09754253,09763546,Environment and Urbanization Asia,3599,C,2025
13528505,15733009,Environmental and Ecological Statistics,4905,A,2025
0813300X,,Environmental and Planning Law Journal,4801,B,2025
09246460,15731502,Environmental and Resource Economics,3801,A,2025
1432847X,1867383X,Environmental Economics and Policy Studies,3801,B,2025
13504622,14695871,Environmental Education Research,3599,A,2025
,22104224,Environmental Innovation and Societal Transitions,3599,A,2025
0364152X,14321009,Environmental Management,3507,C,2025
11804009,1099095X,Environmetrics,4905,B,2025
22082190,,EPH-International Journal of Business & Management Science,3507,C,2025
20407149,20407157,"Equality, Diversity and Inclusion",3505,B,2025
18769098,,Erasmus Journal for Philosophy and Economics,3899,C,2025
18243886,,Erasmus Law and Economics Review,4801,C,2025
12928100,12623318,ESAIM: Probability and Statistics,4905,C,2025
0896226X,23769459,Essays in Economic & Business History,3801,B,2025
01014161,01014161,Estudos Economicos,3801,C,2025
16391306,,Ethics and Economics,3899,C,2025
13881957,15728439,Ethics and Information Technology,4609,B,2025
00141704,1539297X,"Ethics: an international journal of social, political, and legal philosophy",3507,A,2025
13094297,21474281,Eurasian Business Review,3801,B,2025
1309422X,2147429X,Eurasian Economic Review,3801,C,2025
15387216,19382863,Eurasian Geography and Economics,3899,B,2025
16945948,16945972,Eurasian Journal of Business and Economics,3501,C,2025
21924376,21924384,EURO Journal on Transportation and Logistics,3509,B,2025
,1746692X,EuroChoices,3801,C,2025
14502194,1758888X,EuroMed Journal of Business,3507,B,2025
09668136,14653427,Europe-Asia Studies,3599,B,2025
21909733,21909741,European Actuarial Journal,3502,B,2025
09596941,1875841X,European Business Law Review,4801,C,2025
15667529,17416205,European Business Organization Law Review,4801,B,2025
0955534X,17587107,European Business Review,3507,B,2025
15724999,18756530,European Company Law,4801,C,2025
17441056,17578396,European Competition Journal,4801,C,2025
01443054,,European Competition Law Review,4801,A,2025
00142921,1873572X,European Economic Review,3801,A*,2025
13547798,1468036X,European Financial Management,3502,A,2025
01420461,17495083,European Intellectual Property Review,4801,A,2025
02673231,14603705,European Journal of Communication,3599,B,2025
18242979,,European Journal of Comparative Economics,3899,B,2025
09578811,17439728,European Journal of Development Research,3801,B,2025
20527764,20527772,European Journal of Economics and Economic Policies: Intervention,3801,C,2025
22547088,,European Journal of Government and Economics,3899,C,2025
16187598,16187601,European Journal of Health Economics,3801,A,2025
09596801,14617129,European Journal of Industrial Relations,3505,A,2025
0960085X,14769344,European Journal of Information Systems,4609,A*,2025
14601060,17587115,European Journal of Innovation Management,3507,C,2025
09385428,14643596,European Journal of International Law,4801,A,2025
17516757,17516765,European Journal of International Management,3507,C,2025
13540661,14603713,European Journal of International Relations,3599,A,2025
09291261,15729990,European Journal of Law and Economics,4801,C,2025
24448451,24448494,European Journal of Management and Business Economics,3507,B,2025
21834172,26352648,European Journal of Management Studies,3507,C,2025
03090566,17587123,European Journal of Marketing,3506,A*,2025
03772217,18726860,European Journal of Operational Research,3507,A*,2025
08902070,10990984,European Journal of Personality,3507,A,2025
01762680,18735703,European Journal of Political Economy,3801,A,2025
03044130,14756765,European Journal of Political Research,3599,A,2025
01686577,15729885,European Journal of Population,3599,B,2025
10155759,21512426,European Journal of Psychological Assessment,3507,B,2025
11011262,1464360X,European Journal of Public Health,3599,B,2025
00462772,10990992,European Journal of Social Psychology,3507,A,2025
09672567,14695936,European Journal of the History of Economic Thought,3803,B,2025
19947658,13140817,European Journal of Tourism Research,3508,C,2025
20469012,,European Journal of Training and Development,3505,C,2025
15677133,15677141,European Journal of Transport and Infrastructure Research,3509,B,2025
1359432X,14640643,European Journal of Work and Organizational Psychology,3507,A,2025
13515993,14680386,European Law Journal,4801,B,2025
03075400,,European Law Review,4801,A,2025
02632373,18735681,European Management Journal,3507,A,2025
17404754,17404762,European Management Review,3507,B,2025
24448834,24448842,European Research on Management and Business Economics,3599,A,2025
01651587,14643618,European Review of Agricultural Economics,3801,A,2025
13614916,14740044,European Review of Economic History,3801,A,2025
16184742,1746031X,European Sport Management Quarterly,3504,A,2025
00143138,,European Taxation,4801,B,2025
18253997,22835520,European Transport / Trasporti Europei,3509,C,2025
00143154,,European Transport Law,4801,C,2025
09697764,14617145,European Urban and Regional Studies,3599,A,2025
13563890,14617153,Evaluation,3507,B,2025
0193841X,15523926,Evaluation Review,3599,A,2025
15259951,19434308,Event Management,3508,A,2025
20493983,20493991,Evidence-based HRM (EBHRM): A Global Forum for Empirical Scholarship,3505,B,2025
13864157,15736938,Experimental Economics,3801,A*,2025
14737167,17448379,Expert Review of Pharmacoeconomics & Outcomes Research,3801,C,2025
00144983,10902457,Explorations in Economic History,3801,A,2025
02632772,17587131,Facilities,3504,B,2025
03544699,2406050X,Facta Universitatas: Economics and Organization,3501,C,2025
0896307X,,Faith and Economics,3899,B,2025
08944865,17416248,Family Business Review,3507,A,2025
1019035X,,Farm and Business - The Journal of the Caribbean Agro-Economic Society,3899,C,2025
0067205X,,Federal Law Review,4801,A*,2025
13545701,14664372,Feminist Economics,3801,A,2025
23197145,24552658,FIIB Business Review,3507,B,2025
07526180,,Finance,3502,C,2025
09492984,14321122,Finance and Stochastics,3502,A,2025
09703772,,Finance India,3502,C,2025
15446123,15446131,Finance Research Letters,3502,A,2025
02674424,14680408,Financial Accountability and Management,3501,A,2025
0015198X,19383312,Financial Analysts Journal,3502,A,2025
09685650,14740052,Financial History Review,3502,B,2025
,21994730,Financial Innovation,3502,B,2025
00463892,1755053X,Financial Management,3502,A*,2025
19344554,23738529,Financial Markets and Portfolio Management,3502,B,2025
09638008,14680416,"Financial Markets, Institutions and Instruments",3502,A,2025
22061355,,Financial Planning Research Journal,3502,C,2025
,25738615,Financial Planning Review,3502,B,2025
2036671X,20366779,Financial Reporting,3501,C,2025
07328516,15406288,Financial Review (US),3502,A,2025
10352155,1447137X,Financial Services Newsletter,4801,C,2025
10570810,18735673,Financial Services Review,3502,B,2025
13323970,13339354,Financijska Teorija i Praksa,3801,C,2025
07845197,17987423,Finnish Economic Papers,3801,B,2025
13960466,,First Monday,4609,C,2025
01435671,14755890,Fiscal Studies,3801,B,2025
19366582,19366590,Flexible Services and Manufacturing Journal,3507,C,2025
03069192,18735657,Food Policy,3801,B,2025
09503293,,Food Quality and Preference,3506,A,2025
1532303X,,Fordham Journal of Corporate & Financial Law,4801,B,2025
00157120,16651707,Foreign Affairs,3599,C,2025
00157228,19452276,Foreign Policy (Washington),3599,C,2025
00157325,09717625,Foreign Trade Review,3801,B,2025
14636689,14659832,Foresight,3599,C,2025
13899341,18727050,Forest Policy and Economics,3801,B,2025
21946191,15589544,Forum for Health Economics and Policy,3899,C,2025
07360932,18746381,Forum for Social Economics,3801,C,2025
13413732,,Forum of International Development Studies,3899,B,2025
15540642,15540650,Foundations and Trends in Accounting,3501,A,2025
15513076,15513084,Foundations and Trends in Econometrics,3802,C,2025
15672395,15672409,Foundations and Trends in Finance,3502,B,2025
15479846,15479854,Foundations and Trends in Microeconomics,3801,C,2025
18142044,,Frontiers in Finance and Economics,3502,C,2025
16733444,16733568,Frontiers of Economics in China,3801,C,2025
00163287,18736378,Futures,3507,B,2025
11360593,24454192,Fuzzy Economic Review,3801,C,2025
14111128,23387238,Gadjah Mada International Journal of Business,3507,C,2025
20734336,,Games,3803,B,2025
08998256,10902473,Games and Economic Behavior,3803,A*,2025
08912432,15523977,Gender and Society,3507,A*,2025
17542413,17542421,Gender in Management: an international journal,3505,B,2025
09686673,14680432,"Gender, Work and Organization",3505,A,2025
14656485,14680475,German Economic Review,3801,B,2025
00021121,,German Journal of Agricultural Economics,3899,C,2025
23970022,23970030,German Journal of Human Resource Management,3505,B,2025
10974954,17451329,Global Business and Economics Review,3801,C,2025
19322054,19322062,Global Business and Organizational Excellence,3507,C,2025
09721509,09730664,Global Business Review,3507,B,2025
1226508X,17443873,Global Economic Review,3801,C,2025
21945659,15535304,Global Economy Journal,3801,B,2025
09593780,18729495,Global Environmental Change,3599,A*,2025
15263800,15360091,Global Environmental Politics,3599,B,2025
10440283,18735665,Global Finance Journal,3502,A,2025
25740474,25740482,Global Journal of Accounting and Finance,3501,C,2025
09722696,09740198,Global Journal of Flexible Systems Management,3507,A,2025
25149342,25149350,"Global Knowledge, Memory and Communication",4609,B,2025
14702266,14710374,Global Networks: A Journal of Transnational Affairs,3599,A,2025
14680181,17412803,Global Social Policy,3599,C,2025
20425791,20425805,Global Strategy Journal,3507,A,2025
08670005,23005238,Gospodarka Narodowa,3801,C,2025
0740624X,18729517,Government Information Quarterly,4609,A,2025
10383441,18394205,Griffith Law Review,4801,C,2025
10596011,15523993,Group & Organization Management,3507,A,2025
09262644,15729907,Group Decision and Negotiation,4609,A,2025
10892699,19307802,"Group Dynamics: theory, research and practice",3599,B,2025
13684302,14617188,Group Processes and Intergroup Relations,3507,B,2025
00174815,14682257,Growth and Change,3801,B,2025
01973975,18735428,Habitat International,3504,A,2025
00178012,,Harvard Business Review,3507,A,2025
01478257,,Harvard Environmental Law Review,4801,A,2025
00178063,21532494,Harvard International Law Journal,4801,A,2025
01934872,23746572,Harvard Journal of Law and Public Policy,4801,A,2025
08973393,2153263X,Harvard Journal of Law and Technology,4801,A,2025
0017811X,2161976X,Harvard Law Review,4801,A*,2025
1554849X,15548503,Hastings Business Law Journal,4801,B,2025
03616274,15505030,Health Care Management Review,3507,A,2025
13869620,15729389,Health Care Management Science,3507,B,2025
10410236,15327027,Health Communication,3599,B,2025
10579230,10991050,Health Economics,3801,A*,2025
,21911991,Health Economics Review,3801,C,2025
17441331,1744134X,"Health Economics, Policy and Law",3801,B,2025
14604582,17412811,Health Informatics Journal,4609,C,2025
07359683,15450864,Health Marketing Quarterly,3506,B,2025
01688510,18726054,Health Policy,3801,A,2025
09574824,14602245,Health Promotion International,3506,A,2025
09514848,17581044,Health Services Management Research,3599,C,2025
00179124,14756773,Health Services Research,3599,A,2025
20476965,20476973,Health Systems,3509,C,2025
09515224,14682273,Higher Education Quarterly,3505,C,2025
20423896,2042390X,"Higher Education, Skills and Work-based Learning",3505,C,2025
14654466,1569206X,Historical Materialism,3803,C,2025
13621572,20494459,Historical Studies in Industrial Relations,3505,C,2025
11228792,17242169,History of Economic Ideas,3899,B,2025
22409971,2280188X,History of Economic Thought and Policy,3899,C,2025
10370196,18386318,History of Economics Review,3803,B,2025
00182702,15271919,History of Political Economy,3803,A,2025
0018280X,,Hitotsubashi Journal of Economics,3801,B,2025
09430180,23666161,Homo Oeconomicus,3801,C,2025
03780600,,Hong Kong Law Journal,4801,A,2025
20427913,20427921,Hospitality & Society,3504,C,2025
10511482,2152050X,Housing Policy Debate,3801,B,2025
02673037,14661810,Housing Studies,3504,A,2025
15432602,,Houston Business and Tax Law Journal,4801,C,2025
08959285,15327043,Human Performance,3507,A,2025
00187267,1741282X,Human Relations,3507,A*,2025
13678868,14698374,Human Resource Development International,3505,B,2025
10448004,15321096,Human Resource Development Quarterly,3505,A,2025
15344843,15526712,Human Resource Development Review,3505,B,2025
00904848,1099050X,Human Resource Management (US),3505,A*,2025
09670734,17587166,Human Resource Management International Digest,3505,C,2025
09545395,17488583,Human Resource Management Journal (UK),3505,A*,2025
10534822,18737889,Human Resource Management Review,3505,A,2025
01672533,18758703,Human Systems Management,3505,C,2025
07370024,15327051,Human-Computer Interaction,4609,A,2025
03861112,22104240,IATSS Research,3509,C,2025
20491999,02583690,ICSID Review: foreign investment law journal,4801,C,2025
15580040,00189391,IEEE Transactions on Engineering Management,3503,A,2025
15249050,15580016,IEEE Transactions on Intelligent Transportation Systems,3509,A,2025
03611434,15581500,IEEE Transactions on Professional Communication,4609,B,2025
00189855,21950237,IIC International Review of Intellectual Property and Competition Law,4801,A,2025
2321029X,22779752,IIM Kozhikode Society and Management Review,3507,C,2025
09703896,22124446,IIMB Management Review,3507,C,2025
0740817X,15458830,IISE Transactions,3503,A,2025
00197939,2162271X,ILR Review (Industrial and Labor Relations Review),3505,A*,2025
1940204X,,IMA Educational Case Journal,3501,C,2025
20414161,2041417X,IMF Economic Review,3801,A,2025
14615517,14715465,Impact Assessment and Project Appraisal,3507,C,2025
00194662,,Indian Economic Journal,3801,B,2025
00194670,25201778,Indian Economic Review,3801,C,2025
17538254,17538262,Indian Growth and Development Review,3801,B,2025
09746862,,Indian Journal of Corporate Governance,3501,C,2025
00195170,,Indian Journal of Economics,3801,C,2025
09715215,09730672,Indian Journal of Gender Studies,3599,C,2025
00195286,00195286,Indian Journal of Industrial Relations,3505,C,2025
09717927,00195308,Indian Journal of Labour Economics,3801,C,2025
09738703,,Indian Journal of Marketing,3506,C,2025
25976214,25976222,Indonesian Journal of Sustainability Accounting and Management,3501,C,2025
14118858,24429724,Indonesian Management and Accounting Research,3501,C,2025
09606491,14643650,Industrial and Corporate Change,3507,A,2025
17549426,17549434,Industrial and Organizational Psychology: perspectives on science & practice,3507,B,2025
03059332,14643669,Industrial Law Journal,4801,A,2025
02635577,17585783,Industrial Management & Data Systems,4609,A,2025
00198501,18732062,Industrial Marketing Management,3506,A*,2025
00198692,14682338,Industrial Relations Journal,3505,A,2025
00198676,1468232X,Industrial Relations: a journal of economy and society,3505,A*,2025
09504222,20436858,Industry and Higher Education,3507,C,2025
13662716,14698390,Industry and Innovation,3507,A,2025
03155986,19160615,INFOR (INFOR: Information Systems and Operational Research),3507,B,2025
17538157,17538165,Informatics for Health and Social Care,4609,C,2025
03787206,18727530,Information & Management,4609,A*,2025
13600834,14698404,Information and Communications Technology Law,4609,B,2025
08905401,10902651,Information and Computation,4609,B,2025
20564961,,Information and Computer Security,4609,B,2025
14717727,18737919,Information and Organization,4609,A*,2025
23986247,23986255,Information Discovery and Delivery,4609,C,2025
01676245,18735975,Information Economics and Policy,3801,A,2025
15701255,18758754,Information Polity,4609,B,2025
10401628,15337979,Information Resources Management Journal,4609,C,2025
16179846,16179854,Information Systems and e-Business Management,4609,B,2025
13873326,15729419,Information Systems Frontiers,4609,A,2025
13501917,13652575,Information Systems Journal,4609,A*,2025
10580530,19348703,Information Systems Management,4609,A,2025
10477047,15265536,Information Systems Research,4609,A*,2025
09593845,17585813,Information Technology & People,4609,A,2025
10983058,19434294,Information Technology & Tourism,3508,A,2025
1385951X,15737667,Information Technology and Management,4609,B,2025
02681102,15540170,Information Technology for Development,4609,A,2025
1369118X,14684462,"Information, Communication & Society",4609,A,2025
00922102,1526551X,INFORMS Journal on Applied Analytics,4609,B,2025
10919856,15265528,INFORMS Journal on Computing,3507,A,2025
,15320545,INFORMS Transactions on Education,3507,C,2025
,29497531,Innovation and Green Development,3507,B,2025
15313468,15372618,Innovation Policy and the Economy,3801,B,2025
14479338,22040226,Innovation: Organization & Management,3507,B,2025
13511610,14698412,Innovation: The European Journal of Social Sciences Research,3599,B,2025
14439662,,Insolvency Law Bulletin,4801,C,2025
10393293,,Insolvency Law Journal,4801,A,2025
17434009,,Insurance and Reinsurance Law Briefing,4801,C,2025
10302379,,Insurance Law Journal,4801,A,2025
01676687,18735959,Insurance: Mathematics & Economics,3502,A*,2025
15549607,,Intellectual Property and Technology Law Journal,4801,C,2025
08247064,,Intellectual Property Journal,4801,A,2025
1364906X,,Intellectual Property Quarterly,4801,C,2025
1055615X,10991174,"Intelligent Systems in Accounting, Finance and Management: An International Journal",3501,B,2025
09535438,18737951,Interacting with Computers,4609,B,2025
15210227,20426992,Interdisciplinary Environmental Review,3599,C,2025
,29810795,Interdisciplinary Journal of Management Studies,3507,C,2025
00205346,1613964X,Intereconomics: review of European economic policy,3801,C,2025
00205893,14716895,International & Comparative Law Quarterly,4801,A*,2025
10830898,1573966X,International Advances in Economic Research,3801,C,2025
00205850,14682346,International Affairs,3599,A,2025
03097676,,International Business Lawyer,4801,C,2025
09695931,18736149,International Business Review,3507,A,2025
09585214,,International Company and Commercial Law Review,4801,B,2025
20444001,20443994,International Data Privacy Law,4801,C,2025
14746743,14783401,International Development Planning Review,3801,B,2025
10168737,1743517X,International Economic Journal,3801,C,2025
00206598,14682354,International Economic Review,3801,A*,2025
16124804,16124812,International Economics and Economic Policy,3801,B,2025
15547191,15551938,International Entrepreneurship and Management Journal,3507,B,2025
15679764,15731553,"International Environmental Agreements: Politics, Law and Economics",3801,A,2025
13670271,14682362,International Finance,3502,B,2025
14459795,14794276,International Gambling Studies,3504,B,2025
02191989,17936675,International Game Theory Review,3803,B,2025
,07397011,International Hospitality Review,3504,C,2025
11800518,10991107,International Insolvency Review,4801,B,2025
25761285,25761293,International Journal of Accounting & Finance Review,3501,C,2025
24489867,24489875,International Journal of Accounting and Business Finance,3501,C,2025
17528224,17528232,International Journal of Accounting and Finance,3501,C,2025
18347649,17589037,International Journal of Accounting and Information Management,3501,B,2025
14670895,18734723,International Journal of Accounting Information Systems,3501,A,2025
17408008,17408016,"International Journal of Accounting, Auditing and Performance Evaluation",3501,C,2025
,25832123,"International Journal of Accounting, Business and Finance",3501,C,2025
02650487,17593948,International Journal of Advertising,3506,A,2025
14624605,17415004,"International Journal of Agricultural Resources, Governance and Ecology",3599,C,2025
17915120,17913373,International Journal of Applied Economic Sciences & Applied Research,3801,C,2025
,15480003,International Journal of Applied Economics,3801,C,2025
15307247,,International Journal of Applied Economics and Econometrics,3802,C,2025
15444740,,International Journal of Applied Management and Technology,3507,C,2025
14808986,14808986,International Journal of Arts Management,3504,B,2025
14795914,14795922,International Journal of Asian Studies,3599,B,2025
10906738,10991123,International Journal of Auditing,3501,A,2025
18817629,18838022,International Journal of Automation Technology,3509,C,2025
12299138,19763832,International Journal of Automotive Technology,3509,B,2025
02652323,17585937,International Journal of Bank Marketing,3506,A,2025
17553830,17553849,"International Journal of Banking, Accounting and Finance",3502,C,2025
17531969,17531977,International Journal of Behavioural Accounting and Finance,3501,C,2025
20502281,2050229X,International Journal of Bonds and Derivatives,3502,C,2025
10834346,10834346,International Journal of Business,3507,C,2025
16070704,,International Journal of Business and Economics,3801,B,2025
,28159330,International Journal of Business and Management (IJBM),3507,C,2025
15116670,,International Journal of Business and Society,3501,C,2025
23294884,23294892,International Journal of Business Communication,3507,C,2025
17460972,17460980,International Journal of Business Information Systems,4609,C,2025
19473591,19473605,International Journal of Business Intelligence Research (IJBIR),4609,C,2025
2329261X,,International Journal of Business Law,4801,C,2025
15480623,15480615,International Journal of Cases on Electronic Commerce,4609,C,2025
18154654,,International Journal of Central Banking,3801,A,2025
17571170,17571189,International Journal of Computational Economics and Econometrics,3802,C,2025
10444068,17588545,International Journal of Conflict Management,3505,A,2025
23312327,15623599,International Journal of Construction Management,3504,B,2025
14706423,14706431,International Journal of Consumer Studies,3506,A,2025
09596119,17571049,International Journal of Contemporary Hospitality Management,3504,A,2025
17543037,17543045,International Journal of Corporate Governance,4801,B,2025
17579848,17579856,International Journal of Critical Accounting,3501,C,2025
14705958,17412838,International Journal of Cross Cultural Management,3505,B,2025
10286632,14772833,International Journal of Cultural Policy,3504,A,2025
15483924,15483932,International Journal of Data Warehousing and Mining,4609,C,2025
20102690,20102704,International Journal of Development and Conflict,3801,B,2025
14468956,17588553,International Journal of Development Issues,3801,C,2025
22124209,,International Journal of Disaster Risk Reduction,3599,A,2025
17413591,17466539,International Journal of Disclosure and Governance,3501,B,2025
,13071637,International Journal of Economic Perspectives,3801,C,2025
17520452,17520460,International Journal of Economic Policy and Emerging Economies,3801,C,2025
,22477225,International Journal of Economic Practices and Theories,3801,C,2025
17427355,17427363,International Journal of Economic Theory,3803,B,2025
2041868X,20418698,International Journal of Economics and Accounting,3501,C,2025
