university,source,last_run,latest_year,record_count
UNSW Sydney,Crossref,2026-09-12T04:49:49.518972+00:00,2026,170
UNSW Sydney,ORCID,2026-09-12T04:49:49.518972+00:00,2026,208
UNSW Sydney,OpenAlex,2026-09-12T04:49:49.518972+00:00,2026,405
UNSW Sydney,UNSW staff profile,2026-09-12T04:49:49.518972+00:00,2026,4175
