journal_name,normalized_key,publication_count
Australian Journal of Management,australian journal of management,15
Auditing: A Journal of Practice and Theory,auditing a journal of practice and theory,12
Journal of Business Ethics,journal of business ethics,6
Information Systems Research,information systems research,4
Australian Tax Forum,australian tax forum,4
MIS Quarterly,mis quarterly,3
Financial Accountability & Management,financial accountability and management,3
Asia Pacific Journal of Management,asia pacific journal of management,3
Decision Support Systems,decision support systems,2
Journal of Business Research,journal of business research,2
"Accounting, Accountability & Performance",accounting accountability and performance,2
Research Policy,research policy,2
Journal of Consumer Affairs,journal of consumer affairs,2
Encyclopedia of Business and Professional Ethics,encyclopedia of business and professional ethics,2
Australia,australia,2
Moshirian,moshirian,2
Accountants Digest,accountants digest,1
Natural Language Engineering,natural language engineering,1
"Journal of Cleaner Production, 235",journal of cleaner production 235,1
Management Science,management science,1
CPA Australia,cpa australia,1
Journal of the Association of Information Systems,journal of the association of information systems,1
"Accounting & Finance, 63",accounting and finance 63,1
"Journal of Business Finance and Accounting, 50",journal of business finance and accounting 50,1
"Abacus, 56",abacus 56,1
"International Journal of Auditing, 24",international journal of auditing 24,1
"British Accounting Review, Vol. 54, Issue 1, Article 101021",british accounting review vol 54 issue 1 article 101021,1
"Accounting, Auditing & Accountability",accounting auditing and accountability,1
"Public Fund Digest, Research Supplement",public fund digest research supplement,1
Accounting,accounting,1
Strategic Management Journal,strategic management journal,1
International Journal of Management,international journal of management,1
International Journal of Corporate Governance,international journal of corporate governance,1
Corporate Social Responsibility and University Governance,corporate social responsibility and university governance,1
Handbook on Ethics in Finance,handbook on ethics in finance,1
Auditing: Journal of Practice & Theory,auditing journal of practice and theory,1
Journal of Economic Surveys,journal of economic surveys,1
Journal of Management Information Systems,journal of management information systems,1
Australian,australian,1
Blueprint for Individual Taxation Reform in a Globalized World,blueprint for individual taxation reform in a globalized world,1
Australian Tax Review,australian tax review,1
Oxford University Commonwealth Law Journal,oxford university commonwealth law journal,1
Australian Law Journal,australian law journal,1
Federal Law Review,federal law review,1
Advances in Management Accounting,advances in management accounting,1
"Accounting and Finance, A Special Issue for Qualitative Accounting Research",accounting and finance a special issue for qualitative accounting research,1
USA,usa,1
Advances in Accounting Behavioral Research,advances in accounting behavioral research,1
Global Finance,global finance,1
Company and Securities Law Journal,company and securities law journal,1
Research report from grant received from the Institute of Chartered Accountants of Scotland,research report from grant received from the institute of chartered accountants of scotland,1
"Reviewer of Accounting Studies 29: 3497-3533 (ABDC: A*, FT50)",reviewer of accounting studies 29 3497 3533,1
European Accounting Review 31:1089-1118,european accounting review 31 1089 1118,1
"Accounting and Finance, forthcoming (ABDC: A)",accounting and finance forthcoming,1
Accounting and Finance 62: 2467-2496. (ABDC: A),accounting and finance 62 2467 2496,1
"Journal of Corporate Finance 69, 2021 (ABDC: A*)",journal of corporate finance 69 2021,1
"Contemporary Accounting Research 35: 1067-1101 (ABDC: A*, FT50)",contemporary accounting research 35 1067 1101,1
Accounting and Finance 59:599-632 (ABDC: A),accounting and finance 59 599 632,1
"EJournal of Tax Research, 20",ejournal of tax research 20,1
Corporate Governance: An International Review,corporate governance an international review,1
Management and Organization Review,management and organization review,1
American Economic Review,american economic review,1
American Economic Journal: Macroeconomics,american economic journal macroeconomics,1
Stochastic Processes and their Applications,stochastic processes and their applications,1
"Lessons from the Financial Crisis: Causes, Consequences, and Our Economic Future",lessons from the financial crisis causes consequences and our economic future,1
Journal of Asian Business and Economic Studies,journal of asian business and economic studies,1
Journal of Political Economy Microeconomics,journal of political economy microeconomics,1
Centre for International Finance and Regulation,centre for international finance and regulation,1
Review of Finance 2020,review of finance 2020,1
Credit and Banking,credit and banking,1
Financial Flexibility and Corporate Liquidity Management,financial flexibility and corporate liquidity management,1
and Productivity,and productivity,1
