researcher_name,researcher_profile_url,title,journal_name,year,doi,issn,article_url,abdc_self_reported,coauthors,author_count,author_count_confidence,publication_type,scimago_sjr,scimago_quartile,source,citation_percentile,raw
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,The Effect of CEO Adverse Professional Experience on Management Forecast Pessimism,Accounting & Finance,2025,10.1111/acfi.13324,0810-5391,https://doi.org/10.1111/acfi.13324,none,"Khoo, E.S., L.Y. Lu, and Z. Peng",3,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Khoo, E.S., L.Y. Lu, and Z. Peng. 2025. The Effect of CEO Adverse Professional Experience on Management Forecast Pessimism. Accounting & Finance , 65 (1), 219-250. https://doi.org/10.1111/acfi.13324"
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,Internal and External Social Capital of Big 4 Audit Offices,Auditing: A Journal of Practice & Theory,2024,10.2308/AJPT-2022-188,0278-0380,https://aus01.safelinks.protection.outlook.com/?url=https%3A%2F%2Flinkprotect.cudasvc.com%2Furl%3Fa%3Dhttps%253a%252f%252fdoi.org%252f10.2308%252fAJPT-2022-188%26c%3DE%2C1%2C1_lZelKcpvVDL8vpjxwrzihS3G9LMSQ8LPZD2edwNBpvX_FM1Ko03_XHwmwXQXFy749zA5QRz8IYahK-65pDPP_AqLAK-aHCDEndUfHI84z2vnmG4v_WViA%2C%26typo%3D1%26ancr_add%3D1&data=05%7C02%7Ceunice.khoo%40anu.edu.au%7C3ecadb5380c049c9192408dd09170e25%7Ce37d725cab5c46249ae5f0533e486437%7C0%7C0%7C638676716873223367%7CUnknown%7CTWFpbGZsb3d8eyJFbXB0eU1hcGkiOnRydWUsIlYiOiIwLjAuMDAwMCIsIlAiOiJXaW4zMiIsIkFOIjoiTWFpbCIsIldUIjoyfQ%3D%3D%7C0%7C%7C%7C&sdata=xgxlN9TLb6zZ74zfEuav1chofNIA0sGTxTq0d98%2FTwY%3D&reserved=0,none,"Cardinaels, E., E.S. Khoo, Y.F. Kuang, G. Lee, and B. Qin",5,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Cardinaels, E., E.S. Khoo, Y.F. Kuang, G. Lee, and B. Qin. 2024. Internal and External Social Capital of Big 4 Audit Offices. Auditing: A Journal of Practice & Theory , 1-28. https://doi.org/10.2308/AJPT-2022-188"
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,"Superstition, Risk Aversion, and Audit Quality: Evidence from China",Auditing: A Journal of Practice & Theory,2024,10.2308/AJPT-2022-140,0278-0380,https://doi.org/10.2308/AJPT-2022-140,none,"Dou, H., E.S. Khoo, W. Tan, and J.J. Zhang",4,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Dou, H., E.S. Khoo, W. Tan, and J.J. Zhang. 2024. Superstition, Risk Aversion, and Audit Quality: Evidence from China. Auditing: A Journal of Practice & Theory , 43 (3), 51-85. https://doi.org/10.2308/AJPT-2022-140"
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,Climate Change Disclosure and the Information Environment in the Initial Public Offering Market,"Accounting & Finance, 63",2023,10.1111/acfi.13085,0810-5391,http://doi.org/10.1111/acfi.13085,none,"Chen, J.W, E.S. Khoo and Z. Peng",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Chen, J.W, E.S. Khoo and Z. Peng. 2023. Climate Change Disclosure and the Information Environment in the Initial Public Offering Market. Accounting & Finance, 63 (S1), 907-952. http://doi.org/10.1111/acfi.13085"
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,Shareholder Election of CSR Committee Members and its Effects on CSR Performance,"Journal of Business Finance and Accounting, 50",2023,10.1111/jbfa.12643,0306-686X,https://doi.org/10.1111/jbfa.12643,none,"Khoo, E.S., L. Chen and G.S. Monroe",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Khoo, E.S., L. Chen and G.S. Monroe. 2023. Shareholder Election of CSR Committee Members and its Effects on CSR Performance. Journal of Business Finance and Accounting, 50 (3-4), 716-763. https://doi.org/10.1111/jbfa.12643"
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,Corporate Social Responsibility Performance and the Reputational Incentives of Independent Directors,Journal of Business Finance and Accounting,2022,10.1111/jbfa.12569,0306-686X,https://doi.org/10.1111/jbfa.12569,none,"Khoo, E.S., Y. Lim, L.Y. Lu and G.S. Monroe",4,ok,journal_article,1.202,Q1,ANU RSA/RSFAS profile page,,"Khoo, E.S., Y. Lim, L.Y. Lu and G.S. Monroe. 2022. Corporate Social Responsibility Performance and the Reputational Incentives of Independent Directors. Journal of Business Finance and Accounting , 49 (5-6), 841-881. https://doi.org/10.1111/jbfa.12569"
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,Audit Committee Members’ Reputation Incentives and Their Effectiveness in Monitoring the Financial Reporting Process,"Abacus, 56",2020,10.1111/abac.12201,0001-3072,https://doi.org/10.1111/abac.12201,none,"Khoo, E.S., Y. Lim and G.S. Monroe",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Khoo, E.S., Y. Lim and G.S. Monroe. 2020. Audit Committee Members’ Reputation Incentives and Their Effectiveness in Monitoring the Financial Reporting Process. Abacus, 56 (3), 348-406. https://doi.org/10.1111/abac.12201"
Eunice Khoo,https://rsa.anu.edu.au/people/eunice-khoo,The Impact of Corporate Reputation on the Timeliness of External Audit and Earnings Announcement,"International Journal of Auditing, 24",2020,10.1111/ijau.12202,1090-6738,https://doi.org/10.1111/ijau.12202,none,"Khoo, E.S., Y. Lim and G.S. Monroe",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Khoo, E.S., Y. Lim and G.S. Monroe. 2020. The Impact of Corporate Reputation on the Timeliness of External Audit and Earnings Announcement. International Journal of Auditing, 24 (3), 366-395. https://doi.org/10.1111/ijau.12202"
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,"From intention to action on sustainability reporting: the role of individual, organisational and institutional factors during war and post-war periods","British Accounting Review, Vol. 54, Issue 1, Article 101021",2022,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Thoradeniya, P., Lee, J., Tan, R. and Ferreira, A. (2022) ""From intention to action on sustainability reporting: the role of individual, organisational and institutional factors during war and post-war periods"", British Accounting Review, Vol. 54, Issue 1, Article 101021. ."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,The diffusion of sustainability key performance indicators in a developing country context,"Accounting, Auditing & Accountability",2021,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Thoradeniya, P., Ferreira, A., Lee, J. and Tan, R. (2021) “The diffusion of sustainability key performance indicators in a developing country context”, Accounting, Auditing & Accountability Journal, Vol.34, Issue 5, pp.1246-1274."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,"Australian not-for-profit sector views on the conceptual framework, accounting standards and accounting information",Accounting and Finance,2021,,,,none,,1,low - no coauthor text found,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Kober, R., Lee, J. and Ng, J. (2021) “Australian not-for-profit sector views on the conceptual framework, accounting standards and accounting information”, Accounting and Finance, Vol. 61, Issue 1, March, pp.1105-1138."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,Sustainability Reporting and the Theory of Planned Behaviour,"Accounting, Auditing & Accountability Journal",2015,,,,none,,1,low - no coauthor text found,journal_article,1.574,Q1,ANU RSA/RSFAS profile page,,"Thoradeniya, P., Lee, J., Tan, R. and Ferreira, A. (2015) “Sustainability Reporting and the Theory of Planned Behaviour”, Accounting, Auditing & Accountability Journal, Vol. 28, No. 7, pp.1099-1137."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,"GAAP, GFS and AASB 1049: perceptions of public sector stakeholders",Accounting and Finance,2013,,,,none,,1,low - no coauthor text found,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Kober, R., Lee, J. and Ng, J. (2013) “GAAP, GFS and AASB 1049: perceptions of public sector stakeholders”, Accounting and Finance , Vol. 53, No.2, June, pp. 471-496."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,A common conceptual framework: Perspectives of public sector stakeholers,Accounting and Business Research,2012,,,,none,,1,low - no coauthor text found,journal_article,1.065,Q1,ANU RSA/RSFAS profile page,,"Kober, R., Lee, J. and Ng, J. (2012) “A common conceptual framework: Perspectives of public sector stakeholers”, Accounting and Business Research , Vol. 42. No.5, December, pp. 495-581."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector under Different Accounting Systems,Financial Accountability & Management,2010,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Kober, R., Lee.J. and Ng, J. (2010) “Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector under Different Accounting Systems”, Financial Accountability & Management , Vol. 26, No. 3, August, pp.267-298."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,"Executive Performance-based Remuneration, Performance Change and Board Structures",The International Journal of Accounting,2009,,,,none,,1,low - no coauthor text found,journal_article,0.436,Q3,ANU RSA/RSFAS profile page,,"Lee, J. (2009) “Executive Performance-based Remuneration, Performance Change and Board Structures”, The International Journal of Accounting , Vol. 44, pp.138-162."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,The Effect of Board Related Reforms on Investors’ Confidence,Australian Accounting Review,2008,,,,none,,1,low - no coauthor text found,journal_article,0.702,Q2,ANU RSA/RSFAS profile page,,"Lee, J. and Shailer, G. (2008) “The Effect of Board Related Reforms on Investors’ Confidence”, Australian Accounting Review, Vol. 18, No. 2, June, pp.123-134."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,Preparing performance information in the public sector: an Australian perspective,Financial Accountability & Management,2008,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Lee, J. (2008) “Preparing performance information in the public sector: an Australian perspective”, Financial Accountability & Management, Vol. 24, No, 1, May, pp.117-149."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,The Perceived Usefulness and Use of Performance Information in the Australian Public Sector,"Accounting, Accountability & Performance",2007,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Lee, J. and Fisher, G. (2007) “The Perceived Usefulness and Use of Performance Information in the Australian Public Sector”, Accounting, Accountability & Performance , Vol. 13, No. 1, June, pp.42-73."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,Performance Reporting by Australian Government Trading Enterprises: an Empirical Study 1998-2002,Australian Accounting Review,2006,,,,none,,1,low - no coauthor text found,journal_article,0.702,Q2,ANU RSA/RSFAS profile page,,"Lee, J. (2006) “Performance Reporting by Australian Government Trading Enterprises: an Empirical Study 1998-2002”, Australian Accounting Review , Issue 39, Vol. 16, No. 2, July, pp.34-48."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,Infrastructure Assets Disclosure in Australian Public Sector Annual Reports,Accounting Forum,2004,,,,none,,1,low - no coauthor text found,journal_article,1.087,Q1,ANU RSA/RSFAS profile page,,"Lee, J. and Fisher, G. (2004) “Infrastructure Assets Disclosure in Australian Public Sector Annual Reports”, Accounting Forum , Vol. 28, pp.349-367."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,An Exploratory Study of the Company Turnaround in Australia and Singapore Following the Asia Crisis,Asia Pacific Journal of Management,2004,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Fisher, G., Lee, J. and Johns, L. (2004) “An Exploratory Study of the Company Turnaround in Australia and Singapore Following the Asia Crisis”, Asia Pacific Journal of Management , Vol. 21, March, pp.149-170."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,Regulatory and Reporting Changes in Australian Infrastructure Industries,"Public Fund Digest, Research Supplement",2001,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Eddie, I. and Lee, J. (2001) “Regulatory and Reporting Changes in Australian Infrastructure Industries”, Public Fund Digest, Research Supplement , Vol. 1, No. 2, February, pp.45-56."
Janet Lee,https://rsa.anu.edu.au/people/janet-lee,The Reporting of Economic Infrastructure Assets by Public Sector Entities in New South Wales: An Exploratory Study,"Accounting, Accountability & Performance",1999,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Lee, J. (1999) “The Reporting of Economic Infrastructure Assets by Public Sector Entities in New South Wales: An Exploratory Study”, Accounting, Accountability & Performance , Vol. 5, No. 2, August, pp.17-39."
Lingwei Li,https://rsa.anu.edu.au/people/lingwei-li,M&A committees and M&A performance,Journal of Business Research,2025,,,,none,"Ma, Y. and Li, L",2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Ma, Y. and Li, L., 2025. M&A committees and M&A performance. Journal of Business Research , 188, 115119."
Lingwei Li,https://rsa.anu.edu.au/people/lingwei-li,Pilot CEOs and corporate cash holdings,European Financial Management,2025,,,,none,"Chen, L., Li, L. and Wee, M",3,ok,journal_article,1.188,Q1,ANU RSA/RSFAS profile page,,"Chen, L., Li, L. and Wee, M., 2025. Pilot CEOs and corporate cash holdings. European Financial Management ."
Lingwei Li,https://rsa.anu.edu.au/people/lingwei-li,Workforce education and corporate innovation,Australian Journal of Management,2022,,,,none,"Li, L., Liu, L. and Wu, H",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"Li, L., Liu, L. and Wu, H., 2022. Workforce education and corporate innovation. Australian Journal of Management , 47(4), pp.599-629."
Lingwei Li,https://rsa.anu.edu.au/people/lingwei-li,The devil is in the detail? Investors’ mispricing of proxy voting outcomes on M&A deals,Journal of Business Finance & Accounting,2021,,,,none,"Li, L. and Zhang, H",2,ok,journal_article,1.202,Q1,ANU RSA/RSFAS profile page,,"Li, L. and Zhang, H., 2021. The devil is in the detail? Investors’ mispricing of proxy voting outcomes on M&A deals. Journal of Business Finance & Accounting , 48(3-4), pp.692-717."
Lingwei Li,https://rsa.anu.edu.au/people/lingwei-li,Busy directors and firm performance: a replication and extension of Hauser (2018),Accounting & Finance,2021,,,,none,"Daniliuc, S., Li, L. and Wee, M",3,ok,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Daniliuc, S., Li, L. and Wee, M., 2021. Busy directors and firm performance: a replication and extension of Hauser (2018). Accounting & Finance , 61, pp.1415-1423."
Lingwei Li,https://rsa.anu.edu.au/people/lingwei-li,Busy directors and firm performance: Evidence from Australian mergers,Pacific-Basin Finance Journal,2020,,,,none,"Daniliuc, S.O., Li, L. and Wee, M",3,ok,journal_article,1.322,Q1,ANU RSA/RSFAS profile page,,"Daniliuc, S.O., Li, L. and Wee, M., 2020. Busy directors and firm performance: Evidence from Australian mergers. Pacific-Basin Finance Journal , 64, 101434."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Government Spending and CEO Equity Incentives: Evidence from Changes in U.S. Senate Committee Chairs,Journal of Accounting and Public Policy,2024,,,,none,"Xuejun Jiang, Jeong-Bong Kim and Yangxin Yu",3,ok,journal_article,0.97,Q2,ANU RSA/RSFAS profile page,,"2024. ""Government Spending and CEO Equity Incentives:  Evidence from Changes in U.S. Senate Committee Chairs"" with Xuejun Jiang, Jeong-Bong Kim and Yangxin Yu. Journal of Accounting and Public Policy , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Patent litigation and narrative R&D disclosures: Evidence from the adoption of anti-troll legislation,Research Policy,2024,,,,none,"Rui Huang, Jeong-Bon Kim, Dongyue Wang and Yangxin Yu",4,ok,journal_article,,,ANU RSA/RSFAS profile page,,"2024. ""Patent litigation and narrative R&D disclosures: Evidence from the adoption of anti-troll legislation"" with Rui Huang, Jeong-Bon Kim, Dongyue Wang and Yangxin Yu. Research Policy , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Economic Policy Uncertainty and Firms’ Non-GAAP Reporting,European Accounting Review,2024,,,,none,"Xia Chen, Xuejun Jiang and Yangxin Yu",3,ok,journal_article,2.272,Q1,ANU RSA/RSFAS profile page,,"2024. ""Economic Policy Uncertainty and Firms’ Non-GAAP Reporting"" with Xia Chen, Xuejun Jiang and Yangxin Yu. European Accounting Review , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Local community's social capital and CEO pay duration,Journal of Business Finance and Accounting,2024,,,,none,"Zhenjiang Gu, Jeong Bon Kim and Yangxin Yu",3,ok,journal_article,1.202,Q1,ANU RSA/RSFAS profile page,,"2024. ""Local community's social capital and CEO pay duration"" with Zhenjiang Gu, Jeong Bon Kim and Yangxin Yu. Journal of Business Finance and Accounting , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,"The Opioid Crisis, Employee Health Capital, and Corporate Information Production",European Accounting Review,2023,,,,none,"Kathy Wang, Leye Li and Mark Wilson",3,ok,journal_article,2.272,Q1,ANU RSA/RSFAS profile page,,"2023. ""The Opioid Crisis, Employee Health Capital, and Corporate Information Production"" with Kathy Wang, Leye Li and Mark Wilson. European Accounting Review , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,CEO equity incentive duration and expected crash risk,The British Accounting Review,2023,,,,none,Zhenjiang Gu and Yangxin Yu,2,ok,journal_article,1.705,Q1,ANU RSA/RSFAS profile page,,"2023. ""CEO equity incentive duration and expected crash risk"" with Zhenjiang Gu and Yangxin Yu. The British Accounting Review , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Government Corruption and Corporate Social Responsibility: An Instrumental Perspective,Journal of Management,2023,,,,none,"Cuili Qian, David Weng and Xuejun Jiang",3,ok,journal_article,8.251,Q1,ANU RSA/RSFAS profile page,,"2023. ""Government Corruption and Corporate Social Responsibility: An Instrumental Perspective"" with Cuili Qian, David Weng and Xuejun Jiang. Journal of Management , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Flu Fallout: Information Production Constraints and Corporate Disclosure,Journal of Accounting Research,2023,,,,none,"Chen Chen, Leye Li and Rencheng Wang",3,ok,journal_article,9.774,Q1,ANU RSA/RSFAS profile page,,"2023. ""Flu Fallout: Information Production Constraints and Corporate Disclosure"" with Chen Chen, Leye Li and Rencheng Wang. Journal of Accounting Research , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Corporate Social Responsibility Performance and the Reputational Incentives of Independent Directors,Journal of Business Finance and Accounting,2022,,,,none,"Eunice Khoo, Youngdeok Lim and Gary Monroe",3,ok,journal_article,1.202,Q1,ANU RSA/RSFAS profile page,,"2022. ""Corporate Social Responsibility Performance and the Reputational Incentives of Independent Directors"" with Eunice Khoo, Youngdeok Lim and Gary Monroe. Journal of Business Finance and Accounting , vol. 49(5-6), pp. 841-881."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Death is a Law: Death of Former Colleagues and Management Forecasts,Accounting,2022,,,,none,"Flora Kuang, Leye Li and Bo Qin",3,ok,journal_article,,,ANU RSA/RSFAS profile page,,"2022. ""Death is a Law: Death of Former Colleagues and Management Forecasts"" with Flora Kuang, Leye Li and Bo Qin. Accounting, Organisations and Society , vol. 102, October."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Local political corruption and Firm's non-GAAP reporting,Journal of Corporate Finance,2021,,,,none,"Xia Chen, Xuejun Jiang and Yangxin Yu",3,ok,journal_article,2.706,Q1,ANU RSA/RSFAS profile page,,"2021. ""Local political corruption and Firm's non-GAAP reporting"" with Xia Chen, Xuejun Jiang and Yangxin Yu. Journal of Corporate Finance , vol. 70 October."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,The Impact of the Leahy-Smith America Invents Act on Firms’ R&D Disclosure,European Accounting Review,2020,,,,none,"Rui Huang, Leye Li and Steven Wu",3,ok,journal_article,2.272,Q1,ANU RSA/RSFAS profile page,,"2020. ""The Impact of the Leahy-Smith America Invents Act on Firms’ R&D Disclosure” with Rui Huang, Leye Li and Steven Wu. European Accounting Review , forthcoming."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Financial Analyst Coverage and Corporate Social Performance: Evidence from Natural Experiments,Strategic Management Journal,2019,,,,none,Cuili Qian and Yangxin Yu,2,ok,journal_article,,,ANU RSA/RSFAS profile page,,"2019. ""Financial Analyst Coverage and Corporate Social Performance: Evidence from Natural Experiments"" with Cuili Qian and Yangxin Yu. Strategic Management Journal , vol. 40, Iss. 13, pp. 2271-2286."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Analyst Coverage and Expected Crash Risk: Evidence from Exogenous Changes in Analyst Coverage,The Accounting Review,2018,,,,none,Jeong Bon Kim and Yangxin Yu,2,ok,journal_article,4.403,Q1,ANU RSA/RSFAS profile page,,"2018. ""Analyst Coverage and Expected Crash Risk: Evidence from Exogenous Changes in Analyst Coverage"" with Jeong Bon Kim and Yangxin Yu. The Accounting Review , vol. 94, Iss. 4, pp. 345-364."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Analyst Expertise and the Value of Cash Holding,Journal of Business Finance and Accounting,2018,,,,none,Ava Wu,1,ok,journal_article,1.202,Q1,ANU RSA/RSFAS profile page,,"2018. ""Analyst Expertise and the Value of Cash Holding"" with Ava Wu. Journal of Business Finance and Accounting , vol. 45, Iss. 9-10, pp. 1352-1375."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Investment-related Pressure and Audit Risk,Auditing,2017,,,,none,Steven Wu and Yangxin Yu,2,ok,journal_article,2.32,Q1,ANU RSA/RSFAS profile page,,"2017. ""Investment-related Pressure and Audit Risk"" with Steven Wu and Yangxin Yu. Auditing , Vol. 36, Iss. 3, pp. 137-157."
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Corporate Social Responsibility Disclosure and the Value of Cash Holdings,European Accounting Review,2017,,,,none,Greg Shailer and Yangxin Yu,2,ok,journal_article,2.272,Q1,ANU RSA/RSFAS profile page,,"2017. ""Corporate Social Responsibility Disclosure and the Value of Cash Holdings"" with Greg Shailer and Yangxin Yu. European Accounting Review , Vol. 26, Iss. 4, pp. 729-753"
Louise Lu,https://rsa.anu.edu.au/people/louise-lu,Financial Statement Comparability and Expected Crash Risk,Journal of Accounting and Economics,2016,,,,none,"Jeong Bon Kim, Leye Li and Yangxin Yu",3,ok,journal_article,8.748,Q1,ANU RSA/RSFAS profile page,,"2016. ""Financial Statement Comparability and Expected Crash Risk"" with Jeong Bon Kim, Leye Li and Yangxin Yu. Journal of Accounting and Economics , Vol. 61, Iss. 2-3, pp. 294-312."
Scarlett Luo,https://rsa.anu.edu.au/people/scarlett-luo,"Good for CEOs, bad for stock market? Evidence from CEO risk‐taking incentives and stock price delay",Abacus,,,,,none,"K.C. Ho, A. Karathanasopoulos, & J. Yu",3,ok,journal_article,0.762,Q2,ANU RSA/RSFAS profile page,,"“Good for CEOs, bad for stock market? Evidence from CEO risk‐taking incentives and stock price delay”, with K.C. Ho, A. Karathanasopoulos, & J. Yu, Abacus , accepted"
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,"Australian Not-For-Profit Sector Views on the Conceptual Framework, Accounting Standards and Accounting Information",Accounting & Finance,,,,,none,,1,low - no coauthor text found,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Kober, R., Lee, J., and Ng, J. (forthcoming) “Australian Not-For-Profit Sector Views on the Conceptual Framework, Accounting Standards and Accounting Information”, Accounting & Finance ."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,Presentation Format and Financial Literacy: Accessibility and Assessability of Retirement Savings Statements,Journal of Consumer Affairs,2015,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Foster, D., Ng, J., and Wee, M. (2015) “Presentation Format and Financial Literacy: Accessibility and Assessability of Retirement Savings Statements”, Journal of Consumer Affairs , Vol. 49, No. 3, 2015, pp. 519-549."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,"GAAP, GFS and AASB 1049: Perceptions of Public Sector Stakeholders",Accounting & Finance,2013,,,,none,,1,low - no coauthor text found,journal_article,0.814,Q2,ANU RSA/RSFAS profile page,,"Kober, R., Lee, J., and Ng, J. (2013) “GAAP, GFS and AASB 1049: Perceptions of Public Sector Stakeholders”, Accounting & Finance , Vol. 53, No. 2 , pp. 471-496."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,Conceptual Framework Issues: Perspectives of Australian Public Sector Stakeholders,Accounting & Business Research,2012,,,,none,,1,low - no coauthor text found,journal_article,1.065,Q1,ANU RSA/RSFAS profile page,,"Kober, R., Lee, J., and Ng, J. (2012) “Conceptual Framework Issues: Perspectives of Australian Public Sector Stakeholders”, Accounting & Business Research , Vol. 42, No. 5, pp, 595-518."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector Under Different Accounting Systems,Financial Accountability & Management,2010,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Kober, R., Lee, J., and Ng, J. (2010) “Mind Your Accruals: Perceived Usefulness of Financial Information in the Australian Public Sector Under Different Accounting Systems”, Financial Accountability & Management , Vol. 26, No. 3, pp. 267-298."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,The Moral Intensity of Reduced Audit Quality Acts,Auditing: A Journal of Practice and Theory,2008,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Coram, P., Glavovic, A., Ng, J. and Woodliff, D. (2008) “The Moral Intensity of Reduced Audit Quality Acts”, Auditing: A Journal of Practice and Theory , Vol. 27, No. 1, pp. 127-149."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,The Influence of Analyst and Management Forecasts on Investor Decision Making: An Experimental Approach,Australian Journal of Management,2008,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Chang, M., Ng, J. and Yu, K. (2008) “The Influence of Analyst and Management Forecasts on Investor Decision Making: An Experimental Approach”, Australian Journal of Management , Vol. 33, No. 1, pp. 50-67."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,Effects of Employee Support on Junior Accountants’ Job Attitudes and Intention to Quit,Australian Accounting Review,2008,,,,none,,1,low - no coauthor text found,journal_article,0.702,Q2,ANU RSA/RSFAS profile page,,"Chan, C., Monroe, G., Ng, J. and Tan, R. (2008) “Effects of Employee Support on Junior Accountants’ Job Attitudes and Intention to Quit”, Australian Accounting Review , Vol. 18, Issue 2, pp. 149-160."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,The Interrelationship Between Management Control Mechanisms and Strategy,Management Accounting Research,2007,,,,none,,1,low - no coauthor text found,journal_article,1.625,Q1,ANU RSA/RSFAS profile page,,"Kober, R., Ng, J., & Paul, B., (2007) “The Interrelationship Between Management Control Mechanisms and Strategy”, Management Accounting Research , vol. 18, issue 4, pp. 425 - 452. (Awarded David Solomons Prize for Best Paper 2007.)"
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,The Conflict Management Styles of Male and Female Junior Accountants,International Journal of Management,2006,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Chan, C., Monroe, G., Ng, J., & Tan, R., (2006) “The Conflict Management Styles of Male and Female Junior Accountants”, International Journal of Management . vol 23, no. 2, pp. 289-295."
Juliana Ng,https://rsa.anu.edu.au/people/juliana-ng,The Effect of Risk of Misstatement on the Propensity to Commit Reduced Audit Quality Acts Under Time Budget Pressure,Auditing: A Journal of Practice and Theory,2004,,,,none,,1,low - no coauthor text found,journal_article,,,ANU RSA/RSFAS profile page,,"Coram, P., Ng, J., Woodliff, D., (2004) “The Effect of Risk of Misstatement on the Propensity to Commit Reduced Audit Quality Acts Under Time Budget Pressure”, Auditing: A Journal of Practice and Theory , September, vol. 23, no. 2, pp. 159-158."
