name,job_title,academic_level,field_of_research,profile_url,university,research_portal_url,less_research_intensive,orcid,openalex_author_id
Antje Berndt,Professor,E,Finance,https://rsfas.anu.edu.au/people/antje-berndt,Australian National University,https://researchportalplus.anu.edu.au/en/persons/antje-berndt,False,0000-0002-4436-2885,A5090443683
Jenni Bettman,Associate Professor,D,Finance,https://rsfas.anu.edu.au/people/jenni-bettman,Australian National University,,False,,A5003467895
Hua Deng,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/hua-deng,Australian National University,https://researchportalplus.anu.edu.au/en/persons/hua-deng,False,,
Ding Ding,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/ding-ding,Australian National University,https://researchportalplus.anu.edu.au/en/persons/ding-ding,False,,
Jo Drienko,Deputy Director (Education),D,Finance,https://rsfas.anu.edu.au/people/jo-drienko,Australian National University,https://researchportalplus.anu.edu.au/en/persons/jo-drienko,False,,
Chao Gao,Senior Lecturer,C,Finance,https://rsfas.anu.edu.au/people/chao-gao,Australian National University,https://researchportalplus.anu.edu.au/en/persons/chao-gao,False,,
Lin Hu,Senior Lecturer,C,Finance,https://rsfas.anu.edu.au/people/lin-hu,Australian National University,https://researchportalplus.anu.edu.au/en/persons/lin-hu,False,,
Dean Katselas,Senior Lecturer,C,Finance,https://rsfas.anu.edu.au/people/dean-katselas,Australian National University,https://researchportalplus.anu.edu.au/en/persons/dean-katselas,False,0000-0001-7378-0624,A5050367998
Nhan Le,Senior Lecturer,C,Finance,https://rsfas.anu.edu.au/people/nhan-le,Australian National University,https://researchportalplus.anu.edu.au/en/persons/nhan-le,False,,
Kun Li,Lecturer,B,Finance,https://rsfas.anu.edu.au/people/kun-li,Australian National University,https://researchportalplus.anu.edu.au/en/persons/kun-li,False,,
