researcher_name,title,journal_name,year,article_url,publication_type
Janet Lee,The Effect of Board Related Reforms on Investors’ Confidence,Australian Accounting Review,2008,,journal_article
Janet Lee,Preparing performance information in the public sector: an Australian perspective,Financial Accountability & Management,2008,,journal_article
Janet Lee,The Perceived Usefulness and Use of Performance Information in the Australian Public Sector,"Accounting, Accountability & Performance",2007,,journal_article
Janet Lee,Performance Reporting by Australian Government Trading Enterprises: an Empirical Study 1998-2002,Australian Accounting Review,2006,,journal_article
Janet Lee,Infrastructure Assets Disclosure in Australian Public Sector Annual Reports,Accounting Forum,2004,,journal_article
Janet Lee,An Exploratory Study of the Company Turnaround in Australia and Singapore Following the Asia Crisis,Asia Pacific Journal of Management,2004,,journal_article
Janet Lee,Regulatory and Reporting Changes in Australian Infrastructure Industries,"Public Fund Digest, Research Supplement",2001,,journal_article
Janet Lee,The Reporting of Economic Infrastructure Assets by Public Sector Entities in New South Wales: An Exploratory Study,"Accounting, Accountability & Performance",1999,,journal_article
Lingwei Li,M&A committees and M&A performance,Journal of Business Research,2025,,journal_article
Lingwei Li,Pilot CEOs and corporate cash holdings,European Financial Management,2025,,journal_article
Lingwei Li,Workforce education and corporate innovation,Australian Journal of Management,2022,,journal_article
Lingwei Li,The devil is in the detail? Investors’ mispricing of proxy voting outcomes on M&A deals,Journal of Business Finance & Accounting,2021,,journal_article
Lingwei Li,Busy directors and firm performance: a replication and extension of Hauser (2018),Accounting & Finance,2021,,journal_article
Lingwei Li,Busy directors and firm performance: Evidence from Australian mergers,Pacific-Basin Finance Journal,2020,,journal_article
Louise Lu,Government Spending and CEO Equity Incentives: Evidence from Changes in U.S. Senate Committee Chairs,Journal of Accounting and Public Policy,2024,,journal_article
Louise Lu,Patent litigation and narrative R&D disclosures: Evidence from the adoption of anti-troll legislation,Research Policy,2024,,journal_article
Louise Lu,Economic Policy Uncertainty and Firms’ Non-GAAP Reporting,European Accounting Review,2024,,journal_article
Louise Lu,Local community's social capital and CEO pay duration,Journal of Business Finance and Accounting,2024,,journal_article
Louise Lu,"The Opioid Crisis, Employee Health Capital, and Corporate Information Production",European Accounting Review,2023,,journal_article
Louise Lu,CEO equity incentive duration and expected crash risk,The British Accounting Review,2023,,journal_article
Louise Lu,Government Corruption and Corporate Social Responsibility: An Instrumental Perspective,Journal of Management,2023,,journal_article
Louise Lu,Flu Fallout: Information Production Constraints and Corporate Disclosure,Journal of Accounting Research,2023,,journal_article
Louise Lu,Corporate Social Responsibility Performance and the Reputational Incentives of Independent Directors,Journal of Business Finance and Accounting,2022,,journal_article
Louise Lu,Death is a Law: Death of Former Colleagues and Management Forecasts,Accounting,2022,,journal_article
Louise Lu,Local political corruption and Firm's non-GAAP reporting,Journal of Corporate Finance,2021,,journal_article
Louise Lu,The Impact of the Leahy-Smith America Invents Act on Firms’ R&D Disclosure,European Accounting Review,2020,,journal_article
Louise Lu,Financial Analyst Coverage and Corporate Social Performance: Evidence from Natural Experiments,Strategic Management Journal,2019,,journal_article
Louise Lu,Analyst Coverage and Expected Crash Risk: Evidence from Exogenous Changes in Analyst Coverage,The Accounting Review,2018,,journal_article
Louise Lu,Analyst Expertise and the Value of Cash Holding,Journal of Business Finance and Accounting,2018,,journal_article
Louise Lu,Investment-related Pressure and Audit Risk,Auditing,2017,,journal_article
Louise Lu,Corporate Social Responsibility Disclosure and the Value of Cash Holdings,European Accounting Review,2017,,journal_article
