researcher_name,researcher_profile_url,university,field_of_research,title,journal_name,year,publication_type,doi,article_url,coauthors,author_count,volume,pages,publisher,citation_percentile,source,citation_top_10_percent,cited_by_count,fwci,issn,openalex_id,author_match_type,openalex_author_id
Elvira Sojli,https://www.unsw.edu.au/staff/elvira-sojli,UNSW Sydney,Finance,Contagion in emerging markets: the Russian crisis,Applied Financial Economics,2007,Journal Articles,10.1080/09603100600639876,https://doi.org/10.1080/09603100600639876,Elvira Sojli,1,17,197-213,Chapman and Hall London,0.95914172,OpenAlex,True,28,6.3558,0960-3107,W1974000508,name+institution,A5006928676
Peter Swan,https://www.unsw.edu.au/staff/peter-swan,UNSW Sydney,Finance,Do active fund managers care about capital gains tax efficiency?,Pacific-Basin Finance Journal,2008,Journal Articles,10.1016/j.pacfin.2008.04.002,https://doi.org/10.1016/j.pacfin.2008.04.002,Kingsley Y. L. Fong; David R. Gallagher; Sarah S.W. Lau; Peter L. Swan,4,17,257-270,Elsevier BV,0.87104319,OpenAlex,False,14,1.4941,0927-538X,W3123263209,name+institution,A5091076123
Peter Swan,https://www.unsw.edu.au/staff/peter-swan,UNSW Sydney,Finance,Going International: Export Myths and Strategic Realities—Executive Summary,Australian Journal of Management,1991,Journal Articles,10.1177/031289629101600208,https://doi.org/10.1177/031289629101600208,Philip Yetton; Jeremy Davis; Peter L. Swan,3,16,229-237,SAGE Publishing,0.28388153,OpenAlex,False,7,0.0,0312-8962,W2065223143,name+institution,A5091076123
Peter Swan,https://www.unsw.edu.au/staff/peter-swan,UNSW Sydney,Finance,The Cost of Australian Carbon Dioxide Abatement,The Energy Journal,1991,Journal Articles,10.5547/issn0195-6574-ej-vol12-no2-8,https://doi.org/10.5547/issn0195-6574-ej-vol12-no2-8,Robert E. Marks; Peter L. Swan; Peter McLennan; Richard Schodde; Peter Dixon; David T. Johnson,6,12,135-152,SAGE Publishing,0.88995327,OpenAlex,False,13,2.9829,0195-6574,W1970642021,name+institution,A5091076123
Peter Swan,https://www.unsw.edu.au/staff/peter-swan,UNSW Sydney,Finance,Railroaders Without Borders: A History of Railroad Development Corporation by H. Roger Grant (review),Transportation Journal,2017,Journal Articles,,,Peter L. Swan,1,56,210-212,Penn State University Press,0.06734048,OpenAlex,False,0,0.0,0041-1612,W2612401135,name+institution,A5091076123
Peter Swan,https://www.unsw.edu.au/staff/peter-swan,UNSW Sydney,Finance,"Australia's future in manufacturing: the vision of the Australian Manufacturing Council Report. -Collection of three articles. Papers presented at a conference Internationalising Australia's Economy held at the Australian Graduate School of Management, July 1990-",Australian Journal of Management,1991,Journal Articles,,,Jeremy G. Davis; Peter Fritz; Peter L. Swan,3,,,SAGE Publishing,0.37946007,OpenAlex,False,0,0.0,0312-8962,W3217537432,name+institution,A5091076123
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,Good faith in franchising,International Journal of Retail & Distribution Management,2019,Journal Articles,10.1108/ijrdm-02-2018-0043,https://doi.org/10.1108/ijrdm-02-2018-0043,Rozenn Perrigot; Andrew Terry; Cary Di Lernia,3,47,246-261,Emerald Publishing Limited,0.88140135,OpenAlex,False,12,1.7613,0959-0552,W2945827966,name+institution,A5017716655
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,UNFAIR COMPETITION AND THE MISAPPROPRIATION OF A COMPETITOR'S TRADE VALUES,Modern Law Review,1988,Journal Articles,10.1111/j.1468-2230.1988.tb01758.x,https://doi.org/10.1111/j.1468-2230.1988.tb01758.x,Andrew Terry,1,51,296-322,Wiley,0.29429302,OpenAlex,False,19,0.0,0026-7961,W2091479751,name+institution,A5017716655
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,The European courts contemplate the legality of Google's search related advertising,Journal of Brand Management,2010,Journal Articles,10.1057/bm.2009.39,https://doi.org/10.1057/bm.2009.39,Andrew Terry; Chris Taylor,2,17,390-393,Palgrave Macmillan,0.26139711,OpenAlex,False,1,0.0,1350-231X,W1984010204,name+institution,A5017716655
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,Exploiting Celebrity: Character Merchandising and Unfair Trading,University of New South Wales law journal,1990,Journal Articles,,,Andrew Terry,1,12,204,University of New South Wales,0.42371021,OpenAlex,False,1,0.0,0313-0096,W2561816145,name+institution,A5017716655
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,Consumer Protection for Business Interests: The Application of Section 52 Trade Practices Act to Commercial Negotiations,University of New South Wales law journal,1988,Journal Articles,,,Andrew Terry,1,10,260,University of New South Wales,0.281845,OpenAlex,False,1,0.0,0313-0096,W2261411286,name+institution,A5017716655
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,Opening the door to counterfeits?,Journal of Brand Management,2009,Journal Articles,10.1057/bm.2009.29,https://doi.org/10.1057/bm.2009.29,Judith Mulholland; Andrew Terry,2,17,236-239,Palgrave Macmillan,0.2439229,OpenAlex,False,0,0.0,1350-231X,W1995830624,name+institution,A5017716655
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,Vodka wars further extend passing off: Diageo v. ICB,Journal of Brand Management,2010,Journal Articles,10.1057/bm.2010.10,https://doi.org/10.1057/bm.2010.10,"Eversheds LLP, London; Andrew Terry; Neil Mohring; Laura Mazzola",4,17,541-544,Palgrave Macmillan,0.269416,OpenAlex,False,0,0.0,1350-231X,W2015388135,name+institution,A5017716655
Andrew Terry,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,Accounting,Shapes and slogans as trade marks: Developments in case law,Journal of Brand Management,2010,Journal Articles,10.1057/bm.2010.29,https://doi.org/10.1057/bm.2010.29,Andrew Terry; Chloe Chittock,2,18,174-176,Palgrave Macmillan,0.28066115,OpenAlex,False,0,0.0,1350-231X,W2061588899,name+institution,A5017716655
Wing Wah Tham,https://www.unsw.edu.au/staff/wing-wah-tham,UNSW Sydney,Finance,Managing systemic risk in The Netherlands,International Review of Economics & Finance,2015,Journal Articles,10.1016/j.iref.2015.02.012,https://doi.org/10.1016/j.iref.2015.02.012,Shuyu Liao; Elvira Sojli; Wing Wah Tham,3,40,231-245,Elsevier BV,0.92918521,OpenAlex,True,17,3.6968,1059-0560,W1990265050,name+institution,A5084742185
Wing Wah Tham,https://www.unsw.edu.au/staff/wing-wah-tham,UNSW Sydney,Finance,A practical approach to constructing price-based funding liquidity factors,International Review of Economics & Finance,2015,Journal Articles,10.1016/j.iref.2015.02.007,https://doi.org/10.1016/j.iref.2015.02.007,Kees E. Bouwman; Boyd Buis; Mary Pieterse-Bloem; Wing Wah Tham,4,40,90-97,Elsevier BV,0.79309623,OpenAlex,False,3,0.9012,1059-0560,W2003773915,name+institution,A5084742185
Binh Tran-Nam,https://www.unsw.edu.au/staff/binh-tran-nam,UNSW Sydney,Accounting,Estimating the transitional compliance costs of the GST in Australia: a case study approach,Australian Tax Forum,2003,Journal Articles,,,Binh Tran‐Nam; John Stephen Glover,2,17,499-536,,0.59519289,OpenAlex,False,12,0.0,,W3016945219,name+institution,A5037017609
Binh Tran-Nam,https://www.unsw.edu.au/staff/binh-tran-nam,UNSW Sydney,Accounting,"Personal Income Tax Reform in Australia: A Specific Proposal**This paper is derived from an ARC Linkage Project undertaken at Atax. Financial support from the ARC and CPA Australia is gratefully acknowledged. Comments from Garry Addison and Chris Evans, and from two anonymous referees helped to improve the paper. The authors are solely responsible for any remaining errors.",Economic Analysis and Policy,2007,Journal Articles,10.1016/s0313-5926(07)50018-4,https://doi.org/10.1016/s0313-5926(07)50018-4,Binh Tran‐Nam; Linh Vu; Brian Andrew,3,37,163-186,Elsevier BV,0.08600439,OpenAlex,False,3,0.0,0313-5926,W1481890448,name+institution,A5037017609
Binh Tran-Nam,https://www.unsw.edu.au/staff/binh-tran-nam,UNSW Sydney,Accounting,Personal income tax reform in Australia: the way forward. [This is a revised version of a paper presented at the ATTA Annual Conference (18th: 2006: University of Melbourne).],Australian Tax Forum,2006,Journal Articles,,,Paul Drum; Binh Tran‐Nam; Garry Addison; Chris Evans; Brian Andrew,5,21,441,,0.79725942,OpenAlex,False,2,0.6135,,W2767383838,name+institution,A5037017609
Binh Tran-Nam,https://www.unsw.edu.au/staff/binh-tran-nam,UNSW Sydney,Accounting,Oil Price Fluctuations and the Need for Tax Policy Reform in Qatar,Bulletin for international taxation,2017,Journal Articles,10.59403/1e9vfha,https://doi.org/10.59403/1e9vfha,M. Marghich Abdellatif; Ashraf Galal Eid; Binh Tran‐Nam,3,71,,,0.20530713,OpenAlex,False,0,0.0,1819-5490,W2909525375,name+institution,A5037017609
Binh Tran-Nam,https://www.unsw.edu.au/staff/binh-tran-nam,UNSW Sydney,Accounting,INTRODUCTION,International Journal of Development and Conflict,2011,Journal Articles,10.1142/s2010269011000270,https://doi.org/10.1142/s2010269011000270,Partha Gangopadhyay; Ngo Van Long; Binh Tran‐Nam; Henry Wan,4,01,225-229,World Scientific,0.69347382,OpenAlex,False,0,0.0,2010-2690,W4214945529,name+institution,A5037017609
Ken Trotman,https://www.unsw.edu.au/staff/ken-trotman,UNSW Sydney,Accounting,Impact of the Type of Audit Team Discussions on Auditors' Generation of Material Frauds*,Contemporary Accounting Research,2009,Journal Articles,10.1506/car.26.4.5,https://doi.org/10.1506/car.26.4.5,Ken T. Trotman; Roger Simnett; Amna Khalifa,3,26,1115-1142,Wiley,0.96939981,OpenAlex,True,74,8.4268,0823-9150,W2119747605,name+institution,A5006918561
Ken Trotman,https://www.unsw.edu.au/staff/ken-trotman,UNSW Sydney,Accounting,The effects of a supportive learning culture and rank on professional skepticism in information search,Accounting Organizations and Society,2025,Journal Articles,10.1016/j.aos.2025.101590,https://doi.org/10.1016/j.aos.2025.101590,Therese Grohnert; Wim Gijselaers; Roger Meuwissen; Ken T. Trotman,4,114,101590-101590,Elsevier BV,0.98098932,OpenAlex,True,11,12.7381,0361-3682,W3125343369,name+institution,A5006918561
Ken Trotman,https://www.unsw.edu.au/staff/ken-trotman,UNSW Sydney,Accounting,The effects of feedback type on auditor judgment performance for configural and non-configural tasks,Accounting Organizations and Society,2004,Journal Articles,10.1016/j.aos.2004.11.003,https://doi.org/10.1016/j.aos.2004.11.003,Patrick Leung; Ken T. Trotman,2,30,537-553,Elsevier BV,0.92006506,OpenAlex,True,46,2.341,0361-3682,W1970004774,name+institution,A5006918561
Ken Trotman,https://www.unsw.edu.au/staff/ken-trotman,UNSW Sydney,Accounting,Improving Assessments of Another Auditor's Competence,Auditing A Journal of Practice & Theory,2009,Journal Articles,10.2308/aud.2009.28.1.53,https://doi.org/10.2308/aud.2009.28.1.53,Noël Harding; Ken T. Trotman,2,28,53-78,American Accounting Association,0.9204533,OpenAlex,True,30,2.5488,0278-0380,W2004326647,name+institution,A5006918561
Ken Trotman,https://www.unsw.edu.au/staff/ken-trotman,UNSW Sydney,Accounting,Effects of Feedback and Task Predictability onTask Learning and Judgment Accuracy,Abacus,1999,Journal Articles,10.1111/1467-6281.00047,https://doi.org/10.1111/1467-6281.00047,Mark K. Hirst; Peter F. Luckett; Ken T. Trotman,3,35,286-301,Wiley,0.64091858,OpenAlex,False,24,0.4144,0001-3072,W2077098482,name+institution,A5006918561
Ken Trotman,https://www.unsw.edu.au/staff/ken-trotman,UNSW Sydney,Accounting,Editor's Report,Auditing A Journal of Practice & Theory,2011,Journal Articles,10.2308/1558-7991-30.4.303,https://doi.org/10.2308/1558-7991-30.4.303,Ken T. Trotman,1,30,303-308,American Accounting Association,0.91919478,OpenAlex,True,0,0.0,0278-0380,W4249987556,name+institution,A5006918561
Robert Tumarkin,https://www.unsw.edu.au/staff/robert-tumarkin,UNSW Sydney,Finance,Internet Message Board Activity and Market Efficiency: A Case Study of the Internet Service Sector using RagingBull.Com,Financial Markets Institutions and Instruments,2002,Journal Articles,10.1111/1468-0416.11403,https://doi.org/10.1111/1468-0416.11403,Robert Tumarkin,1,11,313-335,Wiley,0.20387019,OpenAlex,False,14,0.0,0963-8008,W2051076312,name+institution,A5041999541
Jason Zein,https://www.unsw.edu.au/staff/jason-zein,UNSW Sydney,Finance,"Family Business Groups around the World: Financing Advantages, Control Motivations, and Organizational Choices",Review of Financial Studies,2011,Journal Articles,10.1093/rfs/hhr052,https://doi.org/10.1093/rfs/hhr052,Ronald W. Masulis; Peter K. Pham; Jason Zein,3,24,3556-3600,Oxford University Press,0.99784483,OpenAlex,True,502,34.3739,0893-9454,W3123263626,name+institution,A5022211414
Jason Zein,https://www.unsw.edu.au/staff/jason-zein,UNSW Sydney,Finance,When Financial Institutions Are Large Shareholders: The Role of Macro Corporate Governance Environments,The Journal of Finance,2006,Journal Articles,10.1111/j.1540-6261.2006.01009.x,https://doi.org/10.1111/j.1540-6261.2006.01009.x,Donghui Li; Fariborz Moshirian; Peter K. Pham; Jason Zein,4,61,2975-3007,Wiley,0.991361,OpenAlex,True,238,22.2337,0022-1082,W3123468565,name+institution,A5022211414
Jason Zein,https://www.unsw.edu.au/staff/jason-zein,UNSW Sydney,Finance,Predicting financial volatility: High‐frequency time‐series forecasts vis‐à‐vis implied volatility,Journal of Futures Markets,2004,Journal Articles,10.1002/fut.20126,https://doi.org/10.1002/fut.20126,Martin Martens; Jason Zein,2,24,1005-1028,Wiley,0.99365456,OpenAlex,True,206,25.2287,0270-7314,W2604667099,name+institution,A5022211414
Jason Zein,https://www.unsw.edu.au/staff/jason-zein,UNSW Sydney,Finance,Corporate governance and alternative performance measures: evidence from Australian firms,Australian Journal of Management,2011,Journal Articles,10.1177/0312896211413035,https://doi.org/10.1177/0312896211413035,Peter K. Pham; Jo‐Ann Suchard; Jason Zein,3,36,371-386,SAGE Publishing,0.97327664,OpenAlex,True,112,9.6991,0312-8962,W3123373286,name+institution,A5022211414
Jason Zein,https://www.unsw.edu.au/staff/jason-zein,UNSW Sydney,Finance,International financial services: determinants of banks’ foreign assets held by non-banks,Journal of International Financial Markets Institutions and Money,2004,Journal Articles,10.1016/j.intfin.2003.11.002,https://doi.org/10.1016/j.intfin.2003.11.002,Fariborz Moshirian; I. Sadeh; Jason Zein,3,14,351-365,Elsevier BV,0.71077941,OpenAlex,False,7,0.3867,1042-4431,W2012432816,name+institution,A5022211414
