researcher_name,researcher_profile_url,university,publication_type,year,raw_citation,reason
Ronald Masulis,https://www.unsw.edu.au/staff/ronald-masulis,UNSW Sydney,Journal articles,2025,"Journal articles | 2025 Masulis, R., S. Shen, and Z. Hong, 2025, Does Changing Liability Protection Affect Corporate Director Quality?, Management Science 71 (8), 6319-7222.",no structured title on the page
Michael Walpole,https://www.unsw.edu.au/staff/michael-walpole,UNSW Sydney,Journal articles,2022,"Journal articles | 2022 Kayis-Kumar A;  Noone J;  Lim Y;  Walpole M;  Mackenzie G, 2022, 'Tax Accounting for Financial Wellbeing: Quantifying the Unmet need for Pro Bono Tax Advice', Australian Tax Review , vol. 51,  pp. 228 - 257, https://legal.thomsonreuters.com.au/australian-tax-review-parts/productdetail/50604",no structured title on the page
