name,job_title,academic_level,field_of_research,profile_url,university,research_portal_url,school,orcid,openalex_author_id,openalex_author_ids,openalex_works_count,author_match_type,author_candidates
Stuart Taylor,Lecturer,B,Accounting,https://www.unsw.edu.au/staff/stuart-taylor,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,ambiguous,"Stuart Taylor (50 works, orcid); Stuart Taylor (9 works, orcid)"
Andrew Terry,Emeritus Professor,E,Accounting,https://www.unsw.edu.au/staff/andrew-terry,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0002-0619-7233,A5017716655,A5017716655,36,name+institution,"Andrew Terry (36 works, orcid)"
Wing Wah Tham,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/wing-wah-tham,UNSW Sydney,,School of Banking and Finance,0000-0002-1169-0073,A5084742185,A5084742185,57,name+institution,"Wing Wah Tham (57 works, orcid)"
Binh Tran-Nam,Professor,E,Accounting,https://www.unsw.edu.au/staff/binh-tran-nam,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0001-5516-7762,A5037017609,A5037017609,127,name+institution,"Binh Tran‐Nam (127 works, orcid)"
Michael Triguboff,Adjunct Professor,E,Finance,https://www.unsw.edu.au/staff/michael-triguboff,UNSW Sydney,,School of Banking and Finance,,,,,not found,
Ken Trotman,Professor,E,Accounting,https://www.unsw.edu.au/staff/ken-trotman,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0003-1211-2379,A5006918561,A5006918561,118,name+institution,"Ken T. Trotman (118 works, orcid)"
Robert Tumarkin,Senior Lecturer,C,Finance,https://www.unsw.edu.au/staff/robert-tumarkin,UNSW Sydney,,School of Banking and Finance,0000-0003-3164-1049,A5041999541,A5041999541,16,name+institution,"Robert Tumarkin (16 works, orcid)"
Kristina Vojvoda,Lecturer,B,Accounting,https://www.unsw.edu.au/staff/kristina-vojvoda,UNSW Sydney,,"School of Accounting, Auditing and Taxation",0000-0001-5882-9223,A5075941403,A5075941403,5,name+institution,"Kristina Vojvoda (5 works, orcid)"
Michael Walpole,Professor,E,Accounting,https://www.unsw.edu.au/staff/michael-walpole,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5112719859,A5112719859,54,name+institution,Michael Walpole (54 works)
Neil Warren,Emeritus Professor,E,Accounting,https://www.unsw.edu.au/staff/neil-warren,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,A5111992219,A5111992219,144,name+institution,Neil Warren (144 works)
Su-Ming Wong,Professor,E,Finance,https://www.unsw.edu.au/staff/su-ming-wong,UNSW Sydney,,School of Banking and Finance,,,,,not found,
Yan Xu,Scientia Professor,E,Accounting,https://www.unsw.edu.au/staff/yan-xu,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,ambiguous,"Yan Xu (633 works, orcid); Yan Xu (331 works, orcid); Yan Xu (192 works, orcid)"
Yuchen Xu,Senior Lecturer,C,Finance,https://www.unsw.edu.au/staff/yuchen-xu,UNSW Sydney,,School of Banking and Finance,,,,,ambiguous,"Yongsheng Xu (133 works, orcid); Yuchen Xu (28 works, orcid); Yuchen Xu (14 works, orcid); Yuchen Xu (22 works)"
Zhaoxia Xu,Associate Professor,D,Finance,https://www.unsw.edu.au/staff/zhaoxia-xu,UNSW Sydney,,School of Banking and Finance,,A5103480224,A5103480224,3,name-variant+institution,Z H Xu (3 works)
Li Yang,Professor,E,Finance,https://www.unsw.edu.au/staff/li-yang,UNSW Sydney,,School of Banking and Finance,,,,,ambiguous,"Yang Li (945 works, orcid); Yang Li (741 works, orcid); Yang Li (141 works, orcid)"
Henry Yip,Senior Lecturer,C,Finance,https://www.unsw.edu.au/staff/henry-yip,UNSW Sydney,,School of Banking and Finance,,A5026969555,A5026969555,7,name+institution,Henry Y. K. Yip (7 works)
Jason Zein,Professor,E,Finance,https://www.unsw.edu.au/staff/jason-zein,UNSW Sydney,,School of Banking and Finance,0000-0001-7701-3721,A5022211414,A5022211414; A5140822079,45,name+institution,"Jason Zein (45 works, orcid); Jason Zein (1 works)"
Sherry Zhang,Lecturer,B,Finance,https://www.unsw.edu.au/staff/sherry-zhang,UNSW Sydney,,School of Banking and Finance,,,,,not found,
Fahim Khondaker,,E,Accounting,https://www.unsw.edu.au/staff/fahim-khondaker,UNSW Sydney,,"School of Accounting, Auditing and Taxation",,,,,,
