university,source,last_run,latest_year
UNSW Sydney,ABDC JQL 2025,2026-09-01T11:11:44.702446+00:00,2025
UNSW Sydney,OpenAlex,2026-09-01T11:11:42.794490+00:00,2026
UNSW Sydney,OpenAlex authors,2026-09-01T10:02:58.169445+00:00,2026
UNSW Sydney,Scimago,2026-09-01T11:11:44.705762+00:00,2025
UNSW Sydney,UNSW staff profile,2026-09-01T11:11:42.047448+00:00,2026
