journal_name,journal_canonical,issn,issn_online,issn_scimago,quality_rank,abdc_list_year,abdc_for_code,sjr,sjr_quartile,h_index,cites_per_doc_2y,scimago_categories,impact_factor,impact_factor_5yr,publication_count,abdc_match_type,scimago_match_type,issn_conflict,quality_rank_source,sjr_source,sjr_quartile_source,h_index_source,cites_per_doc_2y_source,impact_factor_source,impact_factor_5yr_source
Pacific Accounting Review,Pacific Accounting Review,0114-0582,2041-5494,,B,2025,3501,0.521,Q2,40.0,2.84,Accounting (Q2); Finance (Q2),2.1,2.3,2,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Research Policy,Research Policy,0048-7333,1873-7625,,A*,2025,3507,4.471,Q1,318.0,10.7,Engineering (miscellaneous) (Q1); Management of Technology and Innovation (Q1); Management Science and Operations Research (Q1); Strategy and Management (Q1),8.9,11.4,2,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Review of Finance,Review of Finance,1572-3097,1573-692X,,A*,2025,3502,9.87,Q1,91.0,7.62,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),7.2,10.4,2,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Accountants Digest,,,,,none,2025,,,,,,,,,1,,,,,,,,,,
Accounting,,,,,none,2025,,,,,,,,,1,,,,,,,,,,
Accounting & Business Research,Accounting and Business Research,0001-4788,2159-4260,,A,2025,3501,1.065,Q1,77.0,3.62,Accounting (Q1); Finance (Q1),2.5,3.0,1,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Accounting and Finance 59:599-632 (ABDC: A),,,,,none,2025,,,,,,,,,1,,,,,,,,,,
Accounting and Finance 62: 2467-2496. (ABDC: A),,,,,none,2025,,,,,,,,,1,,,,,,,,,,
"Accounting and Finance, A Special Issue for Qualitative Accounting Research",,,,,none,2025,,,,,,,,,1,,,,,,,,,,
"Accounting and Finance, forthcoming (ABDC: A)",,,,,none,2025,,,,,,,,,1,,,,,,,,,,
"Accounting, Auditing & Accountability",,,,,none,2025,,,,,,,,,1,,,,,,,,,,
"Accounting, Auditing & Accountability Journal",Accounting Auditing and Accountability Journal,0951-3574,1758-4205,,A*,2025,3501,1.574,Q1,136.0,4.12,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",2.7,5.1,1,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
"Accounting, Auditing and Accountability Journal",Accounting Auditing and Accountability Journal,0951-3574,1758-4205,,A*,2025,3501,1.574,Q1,136.0,4.12,"Accounting (Q1); Economics, Econometrics and Finance (miscellaneous) (Q1)",2.7,5.1,1,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
"Accounting, Organizations and Society","Accounting, Organizations and Society",0361-3682,1873-6289,,A*,2025,3501,3.098,Q1,170.0,5.0,Accounting (Q1); Applied Psychology (Q1); Information Systems and Management (Q1); Organizational Behavior and Human Resource Management (Q1); Sociology and Political Science (Q1),4.5,5.7,1,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Advances in Accounting Behavioral Research,Advances in Accounting Behavioral Research,1475-1488,,,A,2025,3501,,-,15.0,0.44,,,,1,title,,,,,scimago_local_issn_match,scimago_local_issn_match,scimago_local_issn_match,,
Advances in Management Accounting,Advances in Management Accounting,1474-7871,,,A,2025,3501,,-,20.0,1.22,,,,1,title,,,,,scimago_local_issn_match,scimago_local_issn_match,scimago_local_issn_match,,
American Economic Journal: Macroeconomics,American Economic Journal: Macroeconomics,1945-7707,1945-7715,,A*,2025,3801,12.637,Q1,96.0,7.37,"Economics, Econometrics and Finance (miscellaneous) (Q1)",6.9,8.1,1,title,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
American Economic Review,The American Economic Review,0002-8282,0065-812X,,A*,2025,3801,23.489,Q1,399.0,9.55,Economics and Econometrics (Q1),9.5,18.5,1,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
and Productivity,,,,,none,2025,,,,,,,,,1,,,,,,,,,,
Auditing,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),3.7,4.1,1,abdc-prefix,title,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Auditing: Journal of Practice & Theory,Auditing: A Journal of Practice and Theory,0278-0380,1558-7991,,A*,2025,3501,2.32,Q1,111.0,4.48,Accounting (Q1); Economics and Econometrics (Q1); Finance (Q1),3.7,4.1,1,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Australian,Australian Accounting Review,1035-6908,1835-2561,,B,2025,3501,0.702,Q2,54.0,3.1,Accounting (Q2),2.8,3.1,1,issn,issn,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Australian Law Journal,Australian Law Journal,0004-9611,,,A,2025,4801,,,,,,0.2,0.2,1,title,,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Australian Tax Review,Australian Tax Review,0311-094X,,,A,2025,4801,,,,,,0.1,0.1,1,title,,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
Blueprint for Individual Taxation Reform in a Globalized World,,,,,none,2025,,,,,,,,,1,,,,,,,,,,
"British Accounting Review, Vol. 54, Issue 1, Article 101021",,,,,none,2025,,,,,,,,,1,,,,,,,,,,
Centre for International Finance and Regulation,,,,,none,2025,,,,,,,,,1,,,,,,,,,,
Company and Securities Law Journal,Company and Securities Law Journal,0729-2775,,,A,2025,4801,,,,,,0.1,0.3,1,title,,,,,,,,clarivate_jif_csv_by_issn,clarivate_jif_csv_by_issn
"Contemporary Accounting Research 35: 1067-1101 (ABDC: A*, FT50)",,,,,none,2025,,,,,,,,,1,,,,,,,,,,
