Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
79;19400157320;"Foundations and Trends in Accounting";journal;"15540642, 15540650";"Now Publishers Inc";No;No;1,055;Q1;22;8;7;322;11;7;1,60;40,25;0,00;5;United States;Northern America;"Now Publishers Inc";"2006-2012, 2014-2016, 2018-2025";"Accounting (Q1); Finance (Q1)";"Business, Management and Accounting; Economics, Econometrics and Finance"
80;15495;"Finance and Stochastics";journal;"14321122, 09492984";"Springer Verlag";No;No;1,046;Q1;58;30;84;1208;156;81;1,93;40,27;16,18;0;Germany;Western Europe;"Springer Verlag";"2004-2026";"Finance (Q1); Statistics and Probability (Q1); Statistics, Probability and Uncertainty (Q1)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
81;21100780475;"Journal of Commodity Markets";journal;"24058513";"Elsevier B.V.";No;No;1,043;Q1;36;49;153;2984;827;153;5,56;60,90;23,44;0;Netherlands;Western Europe;"Elsevier B.V.";"2016-2026";"Finance (Q1); Economics and Econometrics (Q2)";"Economics, Econometrics and Finance"
82;23594;"World Economy";journal;"03785920, 14679701";"Wiley-Blackwell Publishing Ltd";No;No;1,000;Q1;90;121;440;6108;1597;439;3,61;50,48;31,70;7;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1977-2026";"Finance (Q1); Political Science and International Relations (Q1); Accounting (Q2); Economics and Econometrics (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
83;3200147830;"Journal of Accounting, Auditing and Finance";journal;"21604061, 0148558X";"SAGE Publications Ltd";No;No;0,965;Q1;68;84;123;5214;349;122;1,91;62,07;37,99;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1986-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q1); Accounting (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
84;21100316071;"Journal of Behavioral and Experimental Finance";journal;"22146350, 22146369";"Elsevier B.V.";No;No;0,965;Q1;54;84;250;5498;1246;250;4,68;65,45;36,71;0;Netherlands;Western Europe;"Elsevier B.V.";"2014-2026";"Finance (Q1)";"Economics, Econometrics and Finance"
85;21101042192;"World Tax Journal";journal;"23529237, 18784917";"International Bureau of Fiscal Documentation (IBFD)";No;No;0,943;Q2;11;20;61;1667;55;59;0,78;83,35;35,90;3;Netherlands;Western Europe;"International Bureau of Fiscal Documentation (IBFD)";"2019-2025";"Law (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
86;21100778661;"European Journal of Management and Business Economics";journal;"24448451, 24448494";"Emerald Group Publishing Ltd.";Yes;Yes;0,937;Q2;43;47;110;3305;713;108;6,85;70,32;52,14;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2016-2025";"Business and International Management (Q1); Tourism, Leisure and Hospitality Management (Q1); Finance (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
87;21100781411;"Journal of Risk Finance";journal;"23312947, 15265943";"Emerald Publishing";No;No;0,916;Q2;53;47;112;3212;666;109;5,28;68,34;39,67;0;United Kingdom;Western Europe;"Emerald Publishing";"1999-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
88;29401;"Journal of the Japanese and International Economies";journal;"08891583, 10958681";"Academic Press Inc.";No;No;0,893;Q2;54;28;76;1367;225;75;3,07;48,82;21,21;3;United States;Northern America;"Academic Press Inc.";"1987-2026";"Political Science and International Relations (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance; Social Sciences"
89;29884;"Journal of International Accounting, Auditing and Taxation";journal;"10619518";"Elsevier B.V.";No;No;0,892;Q2;58;39;117;3310;540;106;4,27;84,87;26,26;1;United Kingdom;Western Europe;"Elsevier B.V.";"1992-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
90;23582;"Journal of Real Estate Finance and Economics";journal;"1573045X, 08955638";"Springer Netherlands";No;No;0,882;Q2;78;70;160;3246;464;160;3,01;46,37;22,09;10;Netherlands;Western Europe;"Springer Netherlands";"1988-2026";"Urban Studies (Q1); Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
91;6500153243;"International Review of Environmental and Resource Economics";journal;"19321465, 19321473";"Now Publishers Inc";No;No;0,866;Q2;36;7;26;1363;40;25;1,81;194,71;38,10;0;United States;Northern America;"Now Publishers Inc";"2007-2025";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2); Management, Monitoring, Policy and Law (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
92;17914;"Venture Capital";journal;"14645343, 13691066";"Routledge";No;No;0,843;Q2;71;36;57;3701;245;54;4,37;102,81;41,35;2;United Kingdom;Western Europe;"Routledge";"1999-2026";"Business and International Management (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
93;21101194311;"Cleaner and Circular Bioeconomy";journal;"27728013";"Elsevier B.V.";Yes;No;0,841;Q2;18;58;116;3998;648;115;4,98;68,93;37,50;2;Netherlands;Western Europe;"Elsevier B.V.";"2022-2026";"Economics and Econometrics (Q2); Environmental Science (miscellaneous) (Q2); Finance (Q2)";"Economics, Econometrics and Finance; Environmental Science"
94;17700156753;"Journal of Financial Services Marketing";journal;"14791846, 13630539";"Palgrave Macmillan Ltd.";No;No;0,839;Q2;38;33;178;2854;1152;177;7,01;86,48;37,35;0;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2004, 2009-2026";"Finance (Q2); Marketing (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
95;21100409365;"Strategic Change";journal;"10861718, 10991697";"John Wiley and Sons Inc";No;No;0,817;Q2;52;124;107;10290;696;105;5,44;82,98;37,35;0;United Kingdom;Western Europe;"John Wiley and Sons Inc";"1992-2026";"Business, Management and Accounting (miscellaneous) (Q1); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
96;200147123;"Accounting and Finance";journal;"1467629X, 08105391";"Wiley-Blackwell";No;No;0,814;Q2;77;234;494;17306;2106;494;3,53;73,96;38,58;1;United States;Northern America;"Wiley-Blackwell";"1979-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
97;24089;"North American Journal of Economics and Finance";journal;"10629408";"Elsevier Inc.";No;No;0,812;Q2;73;208;519;12268;2481;517;4,69;58,98;30,86;1;United States;Northern America;"Elsevier Inc.";"1992-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
98;17332;"International Journal of Finance and Economics";journal;"10991158, 10769307";"John Wiley and Sons Ltd";No;No;0,807;Q2;64;329;755;23689;3620;752;5,20;72,00;27,88;5;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"1996-2026";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
99;24378;"Journal of Economics and Business";journal;"01486195";"Elsevier Inc.";No;No;0,783;Q2;65;29;84;1606;328;82;3,20;55,38;34,92;0;United States;Northern America;"Elsevier Inc.";"1978, 1980, 1982-2026";"Business, Management and Accounting (miscellaneous) (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
100;22736;"Journal of Asian Economics";journal;"10490078";"Elsevier B.V.";No;No;0,770;Q2;67;188;304;10491;1232;302;3,90;55,80;41,48;1;Netherlands;Western Europe;"Elsevier B.V.";"1990-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
101;19200157038;"International Journal of Sports Marketing and Sponsorship";journal;"14646668";"Emerald Group Publishing Ltd.";No;No;0,767;Q2;42;97;173;6820;788;168;4,13;70,31;33,21;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2001, 2007-2026";"Business and International Management (Q2); Finance (Q2); Marketing (Q2); Sports Science (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Health Professions"
102;16062;"Quantitative Finance";journal;"14697696, 14697688";"Taylor and Francis Ltd.";No;No;0,762;Q2;93;110;316;4737;668;312;2,17;43,06;23,31;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2001-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q2)";"Economics, Econometrics and Finance"
103;27748;"Emerging Markets Finance and Trade";journal;"15580938, 1540496X";"Routledge";No;No;0,747;Q2;72;415;732;21692;2940;730;3,94;52,27;44,13;0;United States;Northern America;"Routledge";"2002-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Finance (Q2)";"Economics, Econometrics and Finance"
104;21100881655;"ICSID Review";journal;"02583690, 20491999";"Oxford University Press";No;No;0,747;Q2;29;25;111;2802;119;99;1,12;112,08;41,67;0;United Kingdom;Western Europe;"Oxford University Press";"1996-2025";"Law (Q1); Finance (Q2)";"Economics, Econometrics and Finance; Social Sciences"
105;11600153707;"Journal of Public Budgeting, Accounting and Financial Management";journal;"10963367, 19451814";"Emerald Group Publishing Ltd.";No;No;0,740;Q2;32;62;126;4486;502;121;3,55;72,35;48,32;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1995-1996, 2008, 2011-2026";"Business, Management and Accounting (miscellaneous) (Q1); Public Administration (Q1); Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
106;28062;"International Tax and Public Finance";journal;"15736970, 09275940";"Springer New York";No;No;0,735;Q2;60;102;164;4299;283;161;1,52;42,15;29,57;20;United States;Northern America;"Springer New York";"1994-2026";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
107;19900191721;"Review of Accounting and Finance";journal;"14757702, 17587700";"Emerald Publishing";No;No;0,731;Q2;39;51;80;3467;408;80;6,00;67,98;36,84;0;United Kingdom;Western Europe;"Emerald Publishing";"2002-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
108;28490;"Economics Letters";journal;"01651765";"Elsevier B.V.";No;No;0,718;Q2;142;554;1306;10268;3177;1306;2,20;18,53;26,01;23;Netherlands;Western Europe;"Elsevier B.V.";"1978-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
109;19400158573;"Journal of Pension Economics and Finance";journal;"14747472, 14753022";"Cambridge University Press";No;No;0,716;Q2;40;37;85;1528;177;84;2,14;41,30;34,08;0;United Kingdom;Western Europe;"Cambridge University Press";"2002-2025";"Economics and Econometrics (Q2); Finance (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
110;23633;"Quarterly Review of Economics and Finance";journal;"10629769";"Elsevier B.V.";No;No;0,705;Q2;77;92;396;5123;1589;396;4,21;55,68;26,91;2;Netherlands;Western Europe;"Elsevier B.V.";"1992-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
111;12964;"Review of Quantitative Finance and Accounting";journal;"0924865X, 15737179";"Springer New York";No;No;0,700;Q2;63;164;296;11182;1056;296;3,24;68,18;27,33;3;United States;Northern America;"Springer New York";"1991-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
112;21101213850;"Green Finance";journal;"26431092";"American Institute of Mathematical Sciences";Yes;Yes;0,689;Q2;25;28;76;2137;380;75;4,10;76,32;41,25;0;United States;Northern America;"American Institute of Mathematical Sciences";"2020-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
113;21101199449;"Resources Science";journal;"10077588";"";Yes;No;0,688;Q2;34;192;538;8996;1830;538;3,52;46,85;42,64;0;China;Asiatic Region;"";"2019-2025";"Economics, Econometrics and Finance (miscellaneous) (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
114;21100828958;"Capital Markets Law Journal";journal;"17507227, 17507219";"Oxford University Press";No;No;0,674;Q2;14;28;78;3071;114;72;1,65;109,68;36,36;1;United Kingdom;Western Europe;"Oxford University Press";"2006, 2014-2026";"Law (Q1); Finance (Q2)";"Economics, Econometrics and Finance; Social Sciences"
115;17700156758;"International Journal of Disclosure and Governance";journal;"17413591, 17466539";"Palgrave Macmillan Ltd.";No;No;0,646;Q2;31;99;98;8614;482;98;4,81;87,01;32,11;0;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2026";"Accounting (Q2); Business and International Management (Q2); Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
116;17181;"Public Money and Management";journal;"14679302, 09540962";"Routledge";No;No;0,642;Q2;65;205;367;6494;978;302;2,47;31,68;43,00;7;United Kingdom;Western Europe;"Routledge";"1988-2026";"Sociology and Political Science (Q1); Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2); Public Administration (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
117;29258;"Public Finance Review";journal;"15527530, 10911421";"SAGE Publications Inc.";No;No;0,638;Q2;43;33;75;1607;107;73;1,31;48,70;22,22;0;United States;Northern America;"SAGE Publications Inc.";"1973-1987, 1989-2026";"Economics and Econometrics (Q2); Finance (Q2); Public Administration (Q2)";"Economics, Econometrics and Finance; Social Sciences"
118;28957;"Japan and the World Economy";journal;"09221425";"Elsevier B.V.";No;No;0,637;Q2;45;23;77;893;144;77;1,85;38,83;13,04;1;Netherlands;Western Europe;"Elsevier B.V.";"1988-2026";"Political Science and International Relations (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance; Social Sciences"
119;19900192135;"International Review of Finance";journal;"14682443, 1369412X";"John Wiley and Sons Ltd";No;No;0,636;Q2;35;73;109;4217;332;108;2,96;57,77;33,15;1;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2002, 2011-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
120;145707;"Technological and Economic Development of Economy";journal;"20294921, 20294913";"Vilnius Gediminas Technical University";Yes;No;0,636;Q2;73;64;233;4079;915;233;3,73;63,73;40,50;0;Lithuania;Eastern Europe;"Vilnius Gediminas Technical University";"2005-2026";"Finance (Q2)";"Economics, Econometrics and Finance"
121;145230;"International Journal of Managerial Finance";journal;"17439132";"Emerald Group Publishing Ltd.";No;No;0,635;Q2;47;58;146;3681;559;145;3,19;63,47;31,58;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2026";"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
122;19600162139;"Accounting Research Journal";journal;"10309616";"Emerald Group Publishing Ltd.";No;No;0,620;Q2;37;52;109;3220;580;108;5,11;61,92;27,56;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
123;11700154393;"Journal of Fixed Income";journal;"10598596";"Portfolio Management Research";No;No;0,611;Q2;18;28;84;564;32;72;0,23;20,14;14,29;0;United States;Northern America;"Portfolio Management Research";"2001-2002, 2008-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
124;21100262312;"Journal of Corporate Real Estate";journal;"1463001X, 14791048";"Emerald Group Publishing Ltd.";No;No;0,609;Q2;40;25;55;1455;191;48;4,06;58,20;45,21;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1998-2026";"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
125;21100814032;"Cogent Economics and Finance";journal;"23322039";"Taylor and Francis Ltd.";Yes;No;0,608;Q2;53;282;1058;19222;4313;1043;3,76;68,16;28,08;3;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2014-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
126;19700167906;"Economia Politica";journal;"1973820X, 11202890";"Springer International Publishing AG";No;No;0,604;Q2;27;42;115;2595;304;110;2,04;61,79;28,16;0;Switzerland;Western Europe;"Springer International Publishing AG";"2008-2026";"Economics and Econometrics (Q2); Finance (Q2); Sociology and Political Science (Q2)";"Economics, Econometrics and Finance; Social Sciences"
127;16509;"Journal of Futures Markets";journal;"10969934, 02707314";"Wiley-Liss Inc.";No;No;0,599;Q2;69;109;249;5897;663;242;2,93;54,10;28,36;1;United States;Northern America;"Wiley-Liss Inc.";"1981-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
128;21101256230;"Digital Finance";journal;"25246984, 25246186";"Springer International Publishing";No;No;0,580;Q2;15;41;69;2179;194;66;2,61;53,15;32,32;0;Switzerland;Western Europe;"Springer International Publishing";"2019-2026";"Computer Science Applications (Q2); Finance (Q2)";"Computer Science; Economics, Econometrics and Finance"
129;21100775078;"Qualitative Research in Financial Markets";journal;"17554187, 17554179";"Emerald Publishing";No;No;0,577;Q2;40;102;114;7641;666;113;6,45;74,91;37,21;0;United Kingdom;Western Europe;"Emerald Publishing";"2009-2026";"Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
130;21100842566;"European Journal of Economics and Economic Policies: Intervention";journal;"20527764, 20527772";"Edward Elgar Publishing Ltd.";No;No;0,566;Q2;24;28;80;911;164;66;2,04;32,54;26,32;3;United Kingdom;Western Europe;"Edward Elgar Publishing Ltd.";"2004-2025";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
131;144657;"Journal of Property Investment and Finance";journal;"1463578X";"Emerald Group Publishing Ltd.";No;No;0,564;Q2;47;49;134;2020;346;115;2,29;41,22;24,24;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1999-2026";"Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
132;19900192165;"Financial Review";journal;"15406288, 07328516";"Wiley-Blackwell";No;No;0,560;Q2;57;79;111;4774;235;111;2,20;60,43;28,02;1;United States;Northern America;"Wiley-Blackwell";"1969-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
133;17423;"Geneva Papers on Risk and Insurance: Issues and Practice";journal;"10185895, 14680440";"Springer Nature";No;No;0,560;Q2;46;36;105;1928;418;98;1,84;53,56;40,00;0;United States;Northern America;"Springer Nature";"1994, 1999-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
134;19600162140;"Asian Review of Accounting";journal;"17588863, 13217348";"Emerald Group Publishing Ltd.";No;No;0,556;Q2;38;70;103;5191;429;103;4,60;74,16;39,08;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1992, 1994-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
135;21100777369;"Managerial Finance";journal;"03074358, 17587743";"Emerald Publishing";No;No;0,555;Q2;56;147;296;7746;1079;295;3,42;52,69;32,11;0;United Kingdom;Western Europe;"Emerald Publishing";"1996-2026";"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
136;17700156759;"Journal of Banking Regulation";journal;"17502071, 17456452";"Palgrave Macmillan Ltd.";No;No;0,550;Q2;25;57;86;3529;254;86;3,32;61,91;32,48;5;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2008-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
137;25165;"Applied Mathematical Finance";journal;"1350486X, 14664313";"Routledge";No;No;0,543;Q2;40;6;41;246;75;41;1,58;41,00;20,00;0;United Kingdom;Western Europe;"Routledge";"1994-1997, 1999-2026";"Applied Mathematics (Q2); Finance (Q2)";"Economics, Econometrics and Finance; Mathematics"
138;19700177345;"Asia-Pacific Journal of Financial Studies";journal;"20419945, 20416156";"John Wiley and Sons Ltd";No;No;0,542;Q2;29;28;91;1488;220;88;1,54;53,14;41,67;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2006-2026";"Finance (Q2)";"Economics, Econometrics and Finance"
139;27094;"Fiscal Studies";journal;"01435671, 14755890";"Wiley-Blackwell";No;No;0,542;Q2;54;26;85;1111;135;81;1,30;42,73;38,60;3;United States;Northern America;"Wiley-Blackwell";"1979-2026";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
140;21100913135;"International Journal of Financial Studies";journal;"22277072";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,523;Q2;43;244;393;14921;1652;393;4,24;61,15;31,61;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2026";"Finance (Q2)";"Economics, Econometrics and Finance"
141;144968;"Asia-Pacific Financial Markets";journal;"13872834, 15736946";"Springer New York";No;No;0,521;Q2;29;120;104;7213;444;102;4,25;60,11;30,57;0;United States;Northern America;"Springer New York";"1996-2026";"Finance (Q2)";"Economics, Econometrics and Finance"
142;21100851416;"Pacific Accounting Review";journal;"20415494, 01140582";"Emerald Group Publishing Ltd.";No;No;0,521;Q2;40;59;96;3951;345;94;2,84;66,97;45,32;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997, 1999-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
143;12100155919;"Journal of Financial Counseling and Planning";journal;"19477910, 10523073";"Springer Publishing Company";Yes;No;0,516;Q2;60;35;94;1654;250;91;2,48;47,26;60,26;0;United States;Northern America;"Springer Publishing Company";"1990-1991, 1993-2025";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
144;21101089551;"Journal of Risk and Financial Management";journal;"19118074, 19118066";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,506;Q2;69;725;1715;43542;6416;1699;3,55;60,06;35,16;3;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
145;21100774787;"Journal of Financial Regulation and Compliance";journal;"13581988, 17400279";"Emerald Publishing";No;No;0,505;Q2;32;60;102;4036;377;102;3,61;67,27;28,46;0;United Kingdom;Western Europe;"Emerald Publishing";"1996-2026";"Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
146;21100774786;"Journal of Financial Economic Policy";journal;"17576385, 17576393";"Emerald Group Publishing Ltd.";No;No;0,503;Q2;25;64;117;4529;388;114;3,74;70,77;26,09;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2011-2012, 2014-2026";"Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
147;21101091648;"Finance and Society";journal;"20595999";"Cambridge University Press";Yes;No;0,501;Q2;10;31;60;2517;113;57;1,90;81,19;35,94;2;United Kingdom;Western Europe;"Cambridge University Press";"2019, 2021-2026";"Arts and Humanities (miscellaneous) (Q1); History and Philosophy of Science (Q1); Finance (Q2); Social Sciences (miscellaneous) (Q2); Sociology and Political Science (Q2)";"Arts and Humanities; Economics, Econometrics and Finance; Social Sciences"
148;21101218132;"Journal of Capital Markets Studies";journal;"25144774";"Emerald Publishing";Yes;Yes;0,496;Q2;13;11;43;636;146;37;4,48;57,82;56,25;0;United Kingdom;Western Europe;"Emerald Publishing";"2017-2025";"Economics and Econometrics (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
149;8600153118;"Mathematics and Financial Economics";journal;"18629660, 18629679";"Springer Science and Business Media Deutschland GmbH";No;No;0,489;Q2;32;38;74;1358;95;73;1,18;35,74;25,56;0;Germany;Western Europe;"Springer Science and Business Media Deutschland GmbH";"2007-2026";"Finance (Q2); Statistics and Probability (Q2); Statistics, Probability and Uncertainty (Q3)";"Decision Sciences; Economics, Econometrics and Finance; Mathematics"
150;21100431169;"International Journal of Islamic and Middle Eastern Finance and Management";journal;"17538394, 17538408";"Emerald Publishing";No;No;0,486;Q2;53;109;193;7624;946;191;4,83;69,94;26,43;0;United Kingdom;Western Europe;"Emerald Publishing";"2008-2026";"Business and International Management (Q2); Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
151;5000153701;"Risk Management and Insurance Review";journal;"15406296, 10981616";"Wiley-Blackwell Publishing Ltd";No;No;0,485;Q2;24;23;65;1391;160;62;2,50;60,48;41,30;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2006-2026";"Economics and Econometrics (Q2); Finance (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
152;21100838016;"Quarterly Journal of Finance";journal;"20101406, 20101392";"World Scientific";No;No;0,484;Q2;28;22;65;859;46;65;0,72;39,05;30,95;0;Singapore;Asiatic Region;"World Scientific";"2011-2026";"Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
153;11200153526;"Studies in Economics and Finance";journal;"10867376";"Emerald Publishing";No;No;0,484;Q2;36;82;155;5138;570;151;3,49;62,66;30,25;0;United Kingdom;Western Europe;"Emerald Publishing";"1977-1987, 1989-1991, 1993-1998, 2002-2004, 2006-2026";"Economics and Econometrics (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q2)";"Economics, Econometrics and Finance"
154;21100218512;"Journal of Behavioral Finance";journal;"15427579, 15427560";"Taylor and Francis Ltd.";No;No;0,482;Q2;37;66;111;3594;290;109;2,55;54,45;29,49;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2007, 2011-2026";"Finance (Q2); Experimental and Cognitive Psychology (Q3)";"Economics, Econometrics and Finance; Psychology"
155;15662;"International Review of Law and Economics";journal;"01448188";"Elsevier Inc.";No;No;0,479;Q2;52;34;104;1659;150;103;1,39;48,79;29,51;0;United States;Northern America;"Elsevier Inc.";"1981-2026";"Law (Q1); Economics and Econometrics (Q2); Finance (Q2)";"Economics, Econometrics and Finance; Social Sciences"
156;19400157150;"Cuadernos de Gestion";journal;"11316837, 19882157";"Institute of Applied Business Economics";Yes;Yes;0,476;Q2;20;13;54;1108;156;53;2,69;85,23;37,84;0;Spain;Western Europe;"Institute of Applied Business Economics";"2001-2025";"Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics, Econometrics and Finance (miscellaneous) (Q2); Finance (Q2); Industrial Relations (Q2); Strategy and Management (Q2); Marketing (Q3); Organizational Behavior and Human Resource Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
