Rank;Sourceid;Title;Type;Issn;Publisher;Open Access;Open Access Diamond;SJR;SJR Quartile;H index;Total Docs. (2025);Total Docs. (3years);Total Refs.;Total Citations (3years);Citable Docs. (3years);Citations / Doc. (2years);Ref. / Doc.;%Female;Overton;Country;Region;Publisher;Coverage;Categories;Areas
69;19500157013;"Journal of Contemporary Accounting and Economics";journal;"18155669";"Elsevier Ltd";No;No;0,801;Q2;46;48;79;3132;343;79;4,18;65,25;35,90;0;United Kingdom;Western Europe;"Elsevier Ltd";"2009-2026";"Accounting (Q2)";"Business, Management and Accounting"
70;100147335;"Abacus";journal;"00013072, 14676281";"Wiley-Blackwell Publishing Ltd";No;No;0,762;Q2;60;61;90;4760;294;87;3,20;78,03;38,04;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1965-2026";"Accounting (Q2)";"Business, Management and Accounting"
71;28062;"International Tax and Public Finance";journal;"15736970, 09275940";"Springer New York";No;No;0,735;Q2;60;102;164;4299;283;161;1,52;42,15;29,57;20;United States;Northern America;"Springer New York";"1994-2026";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
72;15688;"Journal of Information Systems";journal;"08887985, 15587959";"American Accounting Association";No;No;0,731;Q2;52;20;85;1828;275;81;2,83;91,40;29,17;0;United States;Northern America;"American Accounting Association";"2006, 2009-2025";"Information Systems and Management (Q1); Accounting (Q2); Human-Computer Interaction (Q2); Information Systems (Q2); Management Information Systems (Q2); Management of Technology and Innovation (Q2); Software (Q2)";"Business, Management and Accounting; Computer Science; Decision Sciences"
73;19900191721;"Review of Accounting and Finance";journal;"14757702, 17587700";"Emerald Publishing";No;No;0,731;Q2;39;51;80;3467;408;80;6,00;67,98;36,84;0;United Kingdom;Western Europe;"Emerald Publishing";"2002-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
74;18700156708;"Australian Accounting Review";journal;"10356908, 18352561";"Wiley-Blackwell Publishing Ltd";No;No;0,702;Q2;54;21;80;1627;300;68;3,10;77,48;50,00;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1991-2026";"Accounting (Q2)";"Business, Management and Accounting"
75;21100865909;"Intertax";journal;"18758347, 01652826";"Kluwer Law International";No;No;0,700;Q2;13;55;203;3341;164;168;0,78;60,75;47,83;1;Netherlands;Western Europe;"Kluwer Law International";"2018-2026";"Law (Q1); Accounting (Q2)";"Business, Management and Accounting; Social Sciences"
76;12964;"Review of Quantitative Finance and Accounting";journal;"0924865X, 15737179";"Springer New York";No;No;0,700;Q2;63;164;296;11182;1056;296;3,24;68,18;27,33;3;United States;Northern America;"Springer New York";"1991-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
77;19900192136;"International Journal of Auditing";journal;"10991123, 10906738";"John Wiley and Sons Ltd";No;No;0,681;Q2;42;41;92;3074;294;90;3,19;74,98;33,72;0;United Kingdom;Western Europe;"John Wiley and Sons Ltd";"2009-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
78;19900193253;"Behavioral Research in Accounting";journal;"15588009, 10504753";"American Accounting Association";No;No;0,679;Q2;36;12;34;893;63;34;1,83;74,42;51,52;0;United States;Northern America;"American Accounting Association";"2007-2025";"Accounting (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting"
79;144642;"Managerial Auditing Journal";journal;"02686902";"Emerald Publishing";No;No;0,676;Q2;83;51;123;3790;551;122;3,39;74,31;40,00;0;United Kingdom;Western Europe;"Emerald Publishing";"1986-2026";"Economics, Econometrics and Finance (miscellaneous) (Q1); Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Organizational Behavior and Human Resource Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
80;21100855822;"Cogent Business and Management";journal;"23311975";"Cogent OA";Yes;No;0,647;Q2;68;604;1854;52261;9851;1844;5,27;86,52;37,78;0;United Kingdom;Western Europe;"Cogent OA";"2014-2026";"Accounting (Q2); Business and International Management (Q2); Business, Management and Accounting (miscellaneous) (Q2); Management Science and Operations Research (Q2); Marketing (Q2); Organizational Behavior and Human Resource Management (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Decision Sciences"
81;17700156758;"International Journal of Disclosure and Governance";journal;"17413591, 17466539";"Palgrave Macmillan Ltd.";No;No;0,646;Q2;31;99;98;8614;482;98;4,81;87,01;32,11;0;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"2009-2026";"Accounting (Q2); Business and International Management (Q2); Economics and Econometrics (Q2); Finance (Q2); Strategy and Management (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
82;17181;"Public Money and Management";journal;"14679302, 09540962";"Routledge";No;No;0,642;Q2;65;205;367;6494;978;302;2,47;31,68;43,00;7;United Kingdom;Western Europe;"Routledge";"1988-2026";"Sociology and Political Science (Q1); Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2); Public Administration (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
83;21101058817;"Asian Journal of Accounting Research";journal;"24599700, 24434175";"Airlangga University";Yes;Yes;0,640;Q2;26;40;83;2405;539;83;4,88;60,13;40,74;0;United Kingdom;Western Europe;"Airlangga University";"2016-2026";"Accounting (Q2)";"Business, Management and Accounting"
84;19600162139;"Accounting Research Journal";journal;"10309616";"Emerald Group Publishing Ltd.";No;No;0,620;Q2;37;52;109;3220;580;108;5,11;61,92;27,56;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
85;16509;"Journal of Futures Markets";journal;"10969934, 02707314";"Wiley-Liss Inc.";No;No;0,599;Q2;69;109;249;5897;663;242;2,93;54,10;28,36;1;United States;Northern America;"Wiley-Liss Inc.";"1981-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
86;29852;"Journal of Accounting Education";journal;"07485751";"Elsevier B.V.";No;No;0,577;Q2;51;26;71;1075;228;70;3,40;41,35;50,00;0;United Kingdom;Western Europe;"Elsevier B.V.";"1983-2026";"Accounting (Q2); Education (Q2)";"Business, Management and Accounting; Social Sciences"
87;17423;"Geneva Papers on Risk and Insurance: Issues and Practice";journal;"10185895, 14680440";"Springer Nature";No;No;0,560;Q2;46;36;105;1928;418;98;1,84;53,56;40,00;0;United States;Northern America;"Springer Nature";"1994, 1999-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
88;19600162140;"Asian Review of Accounting";journal;"17588863, 13217348";"Emerald Group Publishing Ltd.";No;No;0,556;Q2;38;70;103;5191;429;103;4,60;74,16;39,08;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1992, 1994-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
89;27094;"Fiscal Studies";journal;"01435671, 14755890";"Wiley-Blackwell";No;No;0,542;Q2;54;26;85;1111;135;81;1,30;42,73;38,60;3;United States;Northern America;"Wiley-Blackwell";"1979-2026";"Accounting (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
90;19900193251;"Journal of International Accounting Research";journal;"15588025, 15426297";"American Accounting Association";No;No;0,526;Q2;34;22;64;1556;128;64;1,98;70,73;31,15;0;United States;Northern America;"American Accounting Association";"2007, 2009-2025";"Accounting (Q2); Business and International Management (Q2)";"Business, Management and Accounting"
91;21100851416;"Pacific Accounting Review";journal;"20415494, 01140582";"Emerald Group Publishing Ltd.";No;No;0,521;Q2;40;59;96;3951;345;94;2,84;66,97;45,32;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"1997, 1999-2026";"Accounting (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
92;21101089551;"Journal of Risk and Financial Management";journal;"19118074, 19118066";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,506;Q2;69;725;1715;43542;6416;1699;3,55;60,06;35,16;3;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2019-2026";"Accounting (Q2); Business, Management and Accounting (miscellaneous) (Q2); Economics and Econometrics (Q2); Finance (Q2)";"Business, Management and Accounting; Economics, Econometrics and Finance"
93;19900193208;"Issues in Accounting Education";journal;"07393172, 15587983";"American Accounting Association";No;No;0,502;Q2;36;44;121;1620;282;112;2,26;36,82;45,24;0;United States;Northern America;"American Accounting Association";"2001, 2009-2026";"Accounting (Q2); Education (Q2)";"Business, Management and Accounting; Social Sciences"
94;21100375269;"International Journal of Managerial and Financial Accounting";journal;"17536715, 17536723";"Inderscience";No;No;0,496;Q3;21;24;60;1598;184;60;2,71;66,58;33,33;0;Switzerland;Western Europe;"Inderscience";"2002, 2008-2026";"Accounting (Q3)";"Business, Management and Accounting"
95;5000153701;"Risk Management and Insurance Review";journal;"15406296, 10981616";"Wiley-Blackwell Publishing Ltd";No;No;0,485;Q3;24;23;65;1391;160;62;2,50;60,48;41,30;0;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"2006-2026";"Economics and Econometrics (Q2); Finance (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
96;21100887414;"China Journal of Accounting Studies";journal;"21697213, 21697221";"Taylor and Francis Ltd.";Yes;No;0,481;Q3;17;12;89;852;197;89;2,25;71,00;28,00;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2013-2025";"Business, Management and Accounting (miscellaneous) (Q2); Accounting (Q3)";"Business, Management and Accounting"
97;21100865931;"EC Tax Review";journal;"09282750, 18758363";"Kluwer Law International";No;No;0,479;Q3;9;24;90;901;57;76;0,65;37,54;18,52;0;Netherlands;Western Europe;"Kluwer Law International";"2018-2025";"Law (Q1); Accounting (Q3)";"Business, Management and Accounting; Social Sciences"
98;21100381232;"Social and Environmental Accountability Journal";journal;"0969160X, 21562245";"Routledge";No;No;0,472;Q3;29;24;63;1134;134;34;1,86;47,25;50,00;0;United States;Northern America;"Routledge";"1993-2026";"Accounting (Q3)";"Business, Management and Accounting"
99;21100843497;"Accounting, Economics and Law: A Convivium";journal;"21522820";"Walter de Gruyter GmbH";Yes;No;0,468;Q3;23;43;75;2015;87;75;1,33;46,86;50,00;1;Germany;Western Europe;"Walter de Gruyter GmbH";"2011-2026";"Law (Q1); Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
100;19300156810;"Asia-Pacific Journal of Accounting and Economics";journal;"21642257, 16081625";"Taylor and Francis Ltd.";No;No;0,459;Q3;33;118;220;6387;527;220;2,39;54,13;42,62;1;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2000-2026";"Economics and Econometrics (Q2); Finance (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
101;21100448564;"Journal of Islamic Accounting and Business Research";journal;"17590817, 17590825";"Emerald Group Publishing Ltd.";No;No;0,459;Q3;42;240;291;18207;1497;289;5,39;75,86;35,54;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2010-2026";"Business and International Management (Q2); Strategy and Management (Q2); Accounting (Q3)";"Business, Management and Accounting"
102;21100821131;"Review of Behavioral Finance";journal;"19405987, 19405979";"Emerald Group Publishing Ltd.";No;No;0,454;Q3;31;55;155;2883;538;153;3,14;52,42;29,20;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2009-2026";"Finance (Q2); Accounting (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
103;16525;"Journal of Portfolio Management";journal;"00954918";"Portfolio Management Research";No;No;0,449;Q3;67;122;387;3233;394;368;1,05;26,50;13,67;0;United States;Northern America;"Portfolio Management Research";"1986, 1988-1990, 1995-2026";"Business, Management and Accounting (miscellaneous) (Q2); Finance (Q2); Accounting (Q3); Economics and Econometrics (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
104;21101064229;"New England Journal of Entrepreneurship";journal;"1550333X, 25748904";"Emerald Publishing";Yes;Yes;0,448;Q3;22;12;30;606;78;26;3,00;50,50;54,17;0;United Kingdom;Western Europe;"Emerald Publishing";"1998-2025";"Business and International Management (Q2); Public Administration (Q2); Accounting (Q3); Economics and Econometrics (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
105;29804;"International Journal of Accounting";journal;"22133933, 10944060";"World Scientific Publishing Co. Pte Ltd";No;No;0,436;Q3;75;47;52;3623;115;51;1,71;77,09;28,70;0;Singapore;Asiatic Region;"World Scientific Publishing Co. Pte Ltd";"1996-2025";"Finance (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
106;24380;"Journal of Financial Research";journal;"02702592, 14756803";"Wiley-Blackwell Publishing Ltd";No;No;0,436;Q3;58;95;120;5514;211;119;1,85;58,04;26,27;1;United Kingdom;Western Europe;"Wiley-Blackwell Publishing Ltd";"1978-2026";"Finance (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
107;14000156207;"Accounting Perspectives";journal;"19113838, 1911382X";"John Wiley and Sons Inc";No;No;0,435;Q3;28;36;66;2770;142;61;1,76;76,94;36,92;0;Canada;Northern America;"John Wiley and Sons Inc";"2007-2026";"Finance (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
108;4000152110;"Advances in Accounting";journal;"10465715, 08826110";"Emerald Publishing";No;No;0,431;Q3;49;48;89;3384;169;82;1,63;70,50;38,14;0;United States;Northern America;"Emerald Publishing";"2000-2003, 2005-2026";"Finance (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
109;21100312008;"Journal of Financial Management of Property and Construction";journal;"17598443, 13664387";"Emerald Group Publishing Ltd.";No;No;0,430;Q3;35;33;70;2245;242;69;3,45;68,03;18,75;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2005-2026";"Business and International Management (Q2); Finance (Q2); Accounting (Q3); Economics and Econometrics (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
110;19500157310;"Investment Analysts Journal";journal;"20770227, 10293523";"Taylor and Francis Ltd.";No;No;0,428;Q3;24;48;65;2459;160;64;2,67;51,23;27,12;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1972-2026";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
111;21101057644;"Journal of Corporate Accounting and Finance";journal;"10970053, 10448136";"Wiley-Blackwell";No;No;0,421;Q3;27;81;197;3980;396;193;2,04;49,14;29,34;0;United States;Northern America;"Wiley-Blackwell";"1989-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
112;11400153311;"Accounting History";journal;"10323732, 17493374";"SAGE Publications Ltd";No;No;0,404;Q3;36;41;92;2791;107;78;1,00;68,07;43,84;0;United Kingdom;Western Europe;"SAGE Publications Ltd";"1996-2026";"History (Q1); Accounting (Q3)";"Arts and Humanities; Business, Management and Accounting"
113;21101055871;"Bulletin for International Taxation";journal;"18195490, 23529202";"International Bureau of Fiscal Documentation (IBFD)";No;No;0,380;Q3;7;35;135;1061;37;132;0,20;30,31;27,42;0;Netherlands;Western Europe;"International Bureau of Fiscal Documentation (IBFD)";"2019-2025";"Law (Q2); Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
114;21100887437;"South African Journal of Accounting Research";journal;"23763981, 10291954";"Taylor and Francis Ltd.";No;No;0,376;Q3;13;15;38;1057;93;37;2,44;70,47;45,83;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"2018-2026";"Business, Management and Accounting (miscellaneous) (Q2); Accounting (Q3)";"Business, Management and Accounting"
115;21100886347;"Risks";journal;"22279091";"Multidisciplinary Digital Publishing Institute (MDPI)";Yes;No;0,374;Q3;45;251;662;13166;1860;652;2,79;52,45;35,08;0;Switzerland;Western Europe;"Multidisciplinary Digital Publishing Institute (MDPI)";"2013-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
116;19700188202;"International Journal of Digital Accounting Research";journal;"15778517, 23405058";"Universidad de Huelva";No;No;0,355;Q3;20;4;18;234;62;18;3,27;58,50;42,86;0;Spain;Western Europe;"Universidad de Huelva";"2010-2025";"Information Systems and Management (Q2); Accounting (Q3); Finance (Q3)";"Business, Management and Accounting; Decision Sciences; Economics, Econometrics and Finance"
117;19700175212;"Revista Espanola de Financiacion y Contabilidad";journal;"02102412, 23320753";"Taylor and Francis Ltd.";No;No;0,353;Q3;27;24;62;1786;133;62;2,07;74,42;43,64;0;United Kingdom;Western Europe;"Taylor and Francis Ltd.";"1996-2026";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
118;145573;"GENEVA Risk and Insurance Review";journal;"1554964X, 15549658";"Palgrave Macmillan Ltd.";No;No;0,352;Q3;26;12;31;443;50;29;1,41;36,92;23,53;0;United Kingdom;Western Europe;"Palgrave Macmillan Ltd.";"1975-1979, 2002, 2005-2026";"Accounting (Q3); Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
119;21100266590;"Revista de Contabilidad-Spanish Accounting Review";journal;"19884672, 11384891";"Universidad de Murcia";Yes;Yes;0,349;Q3;31;24;78;2011;150;77;1,98;83,79;60,61;0;United Kingdom;Western Europe;"Universidad de Murcia";"2009-2025";"Accounting (Q3)";"Business, Management and Accounting"
120;4800152317;"Financial Markets and Portfolio Management";journal;"19344554, 23738529";"Springer New York";No;No;0,343;Q3;31;28;51;1199;109;48;2,29;42,82;15,25;0;United States;Northern America;"Springer New York";"2006-2026";"Accounting (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
121;21100199701;"Journal of European Real Estate Research";journal;"17539277, 17539269";"Emerald Group Publishing Ltd.";No;No;0,335;Q3;25;43;75;2455;118;66;1,43;57,09;25,00;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2008-2026";"Accounting (Q3); Economics and Econometrics (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
122;21100199108;"Contemporary Economics";journal;"23008814, 20840845";"VIZJA University";Yes;No;0,333;Q3;27;28;86;1675;172;86;2,07;59,82;45,07;0;Poland;Eastern Europe;"VIZJA University";"2011-2025";"Economics, Econometrics and Finance (miscellaneous) (Q2); Social Sciences (miscellaneous) (Q2); Accounting (Q3); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Finance (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
123;17700156749;"Intangible Capital";journal;"20143214, 16979818";"OmniaScience";Yes;No;0,328;Q3;27;23;81;1680;177;81;2,32;73,04;50,82;0;Spain;Western Europe;"OmniaScience";"2009-2025";"Accounting (Q3); Business and International Management (Q3); Education (Q3); Management of Technology and Innovation (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Social Sciences"
124;19900193667;"Current Issues in Auditing";journal;"19361270";"American Accounting Association";No;No;0,322;Q3;22;17;50;438;59;41;1,06;25,76;53,85;0;United States;Northern America;"American Accounting Association";"2009-2025";"Accounting (Q3)";"Business, Management and Accounting"
125;4700152763;"Public Services Quarterly";journal;"15229114, 15228959";"Routledge";No;No;0,318;Q3;21;36;95;751;126;70;1,43;20,86;61,54;0;United States;Northern America;"Routledge";"2002-2003, 2006-2026";"Library and Information Sciences (Q2); Accounting (Q3); Public Administration (Q3)";"Business, Management and Accounting; Social Sciences"
126;8300153115;"Advances in Environmental Accounting and Management";book series;"14793598";"Emerald Group Publishing Ltd.";No;No;0,302;Q3;17;12;14;666;38;7;2,14;55,50;38,46;0;United Kingdom;Western Europe;"Emerald Group Publishing Ltd.";"2000, 2003, 2006, 2009, 2014, 2017-2020, 2022, 2024-2026";"Economics, Econometrics and Finance (miscellaneous) (Q2); Accounting (Q3); Management, Monitoring, Policy and Law (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Environmental Science"
127;21101136421;"Journal of the International Council for Small Business";journal;"26437015, 26437023";"Routledge";No;No;0,288;Q3;15;140;102;7929;271;101;3,42;56,64;36,18;2;United Kingdom;Western Europe;"Routledge";"2020-2026";"Accounting (Q3); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3)";"Business, Management and Accounting"
128;21101043743;"Jordan Journal of Business Administration";journal;"18158633, 23086149";"University of Jordan,Deanship of Scientific Research";No;No;0,279;Q3;10;42;84;2487;173;84;1,80;59,21;27,91;0;Jordan;Middle East;"University of Jordan,Deanship of Scientific Research";"2019-2025";"Accounting (Q3); Business, Management and Accounting (miscellaneous) (Q3); Management Information Systems (Q3); Marketing (Q3)";"Business, Management and Accounting"
129;21101277759;"Journal of Governmental and Nonprofit Accounting";journal;"21553815";"American Accounting Association";No;No;0,277;Q3;4;4;15;164;15;13;1,14;41,00;22,22;0;United States;Northern America;"American Accounting Association";"2017, 2021-2025";"Accounting (Q3)";"Business, Management and Accounting"
130;21101073268;"Journal of Industrial Engineering and Engineering Management";journal;"10046062";"Zhejiang University";No;No;0,274;Q3;13;118;369;5101;373;369;0,99;43,23;36,88;0;China;Asiatic Region;"Zhejiang University";"2019-2026";"Information Systems and Management (Q2); Accounting (Q3); Business and International Management (Q3); Management of Technology and Innovation (Q3); Management Science and Operations Research (Q3); Organizational Behavior and Human Resource Management (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Decision Sciences"
131;21101284297;"Journal of Business Models";journal;"22462465";"Aalborg University press";Yes;No;0,270;Q3;13;13;55;908;71;50;1,51;69,85;38,46;0;Denmark;Western Europe;"Aalborg University press";"2020-2025";"Accounting (Q3); Business, Management and Accounting (miscellaneous) (Q3); Management of Technology and Innovation (Q3); Strategy and Management (Q3)";"Business, Management and Accounting"
132;19700182325;"Investment Management and Financial Innovations";journal;"18104967, 18129358";"LLC CPC Business Perspectives";Yes;No;0,269;Q3;33;140;364;6674;699;364;1,95;47,67;35,44;0;Ukraine;Eastern Europe;"LLC CPC Business Perspectives";"2004-2026";"Law (Q2); Accounting (Q3); Business and International Management (Q3); Economics and Econometrics (Q3); Finance (Q3); Strategy and Management (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
133;21101075855;"Journal of Indonesian Economy and Business";journal;"23385847, 20858272";"Gadjah Mada University";Yes;Yes;0,260;Q3;12;20;45;1241;85;45;1,80;62,05;63,41;0;Indonesia;Asiatic Region;"Gadjah Mada University";"2019-2026";"Accounting (Q3); Business and International Management (Q3); Business, Management and Accounting (miscellaneous) (Q3); Economics and Econometrics (Q3); Management Information Systems (Q3); Management of Technology and Innovation (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance"
134;21100388306;"Accounting Historians Journal";journal;"01484184, 23274468";"American Accounting Association";No;No;0,256;Q3;29;18;55;1351;33;49;0,62;75,06;38,46;0;United States;Northern America;"American Accounting Association";"1974-2025";"History (Q1); Accounting (Q3)";"Arts and Humanities; Business, Management and Accounting"
135;21100199113;"Asian Journal of Business and Accounting";journal;"21803137, 19854064";"Faculty of Business and Economics,University of Malaya";No;No;0,255;Q3;21;10;65;863;100;60;1,37;86,30;20,00;0;Malaysia;Asiatic Region;"Faculty of Business and Economics,University of Malaya";"2008-2026";"Accounting (Q3); Business and International Management (Q3)";"Business, Management and Accounting"
136;21101210639;"Florida Tax Review";journal;"10663487, 24761699";"University of Florida Press";No;No;0,239;Q3;5;8;43;43;19;43;0,36;5,38;27,27;0;United States;Northern America;"University of Florida Press";"2019-2025";"Accounting (Q3); Finance (Q3); Law (Q3)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
137;21101072352;"Journal of Tax Reform";journal;"24128872, 24149497";"Ural Federal University";Yes;Yes;0,235;Q3;9;48;84;2321;150;84;2,03;48,35;32,93;0;Russian Federation;Eastern Europe;"Ural Federal University";"2019-2025";"Accounting (Q3); Business, Management and Accounting (miscellaneous) (Q3); Finance (Q3); Law (Q3); Economics and Econometrics (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
138;21101273214;"Corporate Governance and Sustainability Review";journal;"2519898X, 25198971";"Virtus Interpress";No;No;0,231;Q3;8;65;52;3483;83;44;1,92;53,58;46,43;0;Ukraine;Eastern Europe;"Virtus Interpress";"2021-2026";"Accounting (Q3); Strategy and Management (Q3); Economics and Econometrics (Q4); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
139;4700152235;"International Journal of Accounting, Auditing and Performance Evaluation";journal;"17408008, 17408016";"Inderscience Enterprises Ltd";No;No;0,226;Q3;22;33;56;2234;112;56;2,25;67,70;42,35;0;United Kingdom;Western Europe;"Inderscience Enterprises Ltd";"2004-2025";"Accounting (Q3); Finance (Q3); Organizational Behavior and Human Resource Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
140;21101212235;"Canadian Tax Journal";journal;"00085111";"Canadian Tax Foundation";No;No;0,217;Q3;5;35;130;419;50;112;0,34;11,97;27,08;0;Canada;Northern America;"Canadian Tax Foundation";"2020-2025";"Accounting (Q3); Law (Q3); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
141;21100892782;"Journal of Payments Strategy and Systems";journal;"17501806, 17501814";"Henry Stewart Publications";No;No;0,209;Q4;11;34;107;913;67;95;0,72;26,85;16,98;0;United Kingdom;Western Europe;"Henry Stewart Publications";"2018-2025";"Information Systems and Management (Q3); Accounting (Q4); Information Systems (Q4); Management Information Systems (Q4)";"Business, Management and Accounting; Computer Science; Decision Sciences"
142;21100787105;"Journal of Environmental Accounting and Management";journal;"23256206, 23256192";"L and H Scientific Publishing, LLC";No;No;0,207;Q4;18;24;88;1158;74;88;0,79;48,25;30,43;0;United States;Northern America;"L and H Scientific Publishing, LLC";"2013-2025";"Urban Studies (Q3); Accounting (Q4); Ecological Modeling (Q4); Ecology (Q4); Management, Monitoring, Policy and Law (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Environmental Science; Social Sciences"
143;21100894527;"Brazilian Business Review";journal;"18082386";"FUCAPE Business School";Yes;Yes;0,203;Q4;15;5;147;261;137;142;0,85;52,20;46,67;0;Brazil;Latin America;"FUCAPE Business School";"2017-2026";"Accounting (Q4); Business and International Management (Q4); Economics and Econometrics (Q4); Management of Technology and Innovation (Q4); Strategy and Management (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance"
144;21100945159;"Journal of Law, Finance, and Accounting";journal;"23805013, 23805005";"Now Publishers Inc";No;No;0,203;Q4;11;0;13;0;8;13;0,56;0,00;0,00;0;United States;Northern America;"Now Publishers Inc";"2016-2024";"Law (Q3); Accounting (Q4); Finance (Q4)";"Business, Management and Accounting; Economics, Econometrics and Finance; Social Sciences"
