university,name,job_title,academic_level,level_code,h_index,field_of_research,profile_url
Adelaide University,Simon Cottrell,"Senior Lecturer, Finance",Senior Lecturer,C,,Accounting & Finance,https://adelaide.edu.au/people/simon.cottrell
Adelaide University,Courtney Regan,,,,6,Accounting & Finance,https://adelaide.edu.au/people/courtney.regan
Adelaide University,APrf Caroline Ellison,,,,,Accounting & Finance,https://adelaide.edu.au/people/caroline.ellison
Adelaide University,APrf Wei Qian,Associate Professor,Associate Professor,D,,Accounting & Finance,https://adelaide.edu.au/people/wei.qian
Adelaide University,Prof Roger Harris,,,,,Accounting & Finance,https://adelaide.edu.au/people/roger.harris
Adelaide University,Chansik Yoon,Lecturer,Lecturer,B,,Accounting & Finance,https://adelaide.edu.au/people/chansik.yoon
Adelaide University,Kesten Green,Senior Lecturer,Senior Lecturer,C,16,Accounting & Finance,https://adelaide.edu.au/people/kesten.green
Adelaide University,Christoforus Enrico Andriawan,,,,,Accounting & Finance,https://adelaide.edu.au/people/christoforusenrico.andriawan
Adelaide University,Mimi Salminah,,,,8,Accounting & Finance,https://adelaide.edu.au/people/mimi.salminah
Adelaide University,Ruixin Qin,,,,,Accounting & Finance,https://adelaide.edu.au/people/ruixin.qin
Adelaide University,Shimul Chakraborty,,,,,Accounting & Finance,https://adelaide.edu.au/people/shimul.chakraborty
Adelaide University,Daniel Rossetto,,,,5,Accounting & Finance,https://adelaide.edu.au/people/daniel.rossetto
Adelaide University,Agamoni Majumder,,,,3,Accounting & Finance,https://adelaide.edu.au/people/agamoni.majumder
Adelaide University,Ali Fereydooni,,,,6,Accounting & Finance,https://adelaide.edu.au/people/ali.fereydooni
Adelaide University,Fernanda Nobre,Grant-Funded Research Associate,,,1,Accounting & Finance,https://adelaide.edu.au/people/fernanda.nobre
Adelaide University,Shunji Mei,Lecturer,Lecturer,B,3,Accounting & Finance,https://adelaide.edu.au/people/shunji.mei
Adelaide University,Kevin Li,Associate Professor,Associate Professor,D,7,Accounting & Finance,https://adelaide.edu.au/people/k.li
Adelaide University,Emiliano Carlevaro,Lecturer,Lecturer,B,1,Accounting & Finance,https://adelaide.edu.au/people/emiliano.carlevaro
Adelaide University,Ilker Cingillioglu,Senior Lecturer,Senior Lecturer,C,6,Accounting & Finance,https://adelaide.edu.au/people/ilker.cingillioglu
Adelaide University,Obumneke Muoneke,,,,13,Accounting & Finance,https://adelaide.edu.au/people/obumneke.muoneke
Adelaide University,Daniel Orlovsky,Lecturer,Lecturer,B,,Accounting & Finance,https://adelaide.edu.au/people/daniel.orlovsky
Adelaide University,Md Afnan Hossain,Senior Lecturer,Senior Lecturer,C,21,Accounting & Finance,https://adelaide.edu.au/people/mdafnan.hossain
Adelaide University,Zhiruo Zhang,,,,,Accounting & Finance,https://adelaide.edu.au/people/zhiruo.zhang
Adelaide University,Dannie Carr Quiros,,,,1,Accounting & Finance,https://adelaide.edu.au/people/dannie.carrquiros
Adelaide University,Xiaopeng Wei,Lecturer,Lecturer,B,9,Accounting & Finance,https://adelaide.edu.au/people/xiaopeng.wei
Adelaide University,Marta Khomyn,Senior Lecturer,Senior Lecturer,C,4,Accounting & Finance,https://adelaide.edu.au/people/marta.khomyn
Adelaide University,Nicholas Marzohl,,,,,Accounting & Finance,https://adelaide.edu.au/people/nicholas.marzohl
Adelaide University,Lan Phuong Nguyen,Lecturer,Lecturer,B,,Accounting & Finance,https://adelaide.edu.au/people/lanphuong.nguyen
